Date,Home Team,Away Team,Home Score,Away Score
Sat 4/27,North Carolina,Duke,13,7
Sat 4/27,Johns Hopkins,East Carolina,13,8
Sat 4/27,North Carolina,East Carolina,13,5
Sat 4/27,Johns Hopkins,Duke,9,11
Sat 4/27,North Carolina,Johns Hopkins,13,5
Sat 4/27,Duke,East Carolina,10,6
Sat 4/27,North Carolina,Virginia,11,13
Sat 4/27,Maryland,Appalachian State,12,11
Sat 4/27,North Carolina,Appalachian State,13,7
Sat 4/27,Maryland,Virginia,11,10
Sat 4/27,North Carolina,Maryland,13,8
Sat 4/27,Virginia,Appalachian State,12,6
Sat 4/27,North Carolina,Liberty,13,5
Sat 4/27,William,James Madison,11,12
Sat 4/27,North Carolina,James Madison,13,4
Sat 4/27,William,Liberty,10,6
Sat 4/27,North Carolina,William,8,10
Sat 4/27,Liberty,James Madison,10,13
Sat 4/27,South Carolina,Georgetown,13,6
Sat 4/27,Virginia Tech,North Carolina,13,8
Sat 4/27,South Carolina,North Carolina,12,9
Sat 4/27,Virginia Tech,Georgetown,13,7
Sat 4/27,South Carolina,Virginia Tech,8,12
Sat 4/27,Georgetown,North Carolina,12,7
4/28/2019,North Carolina,North Carolina,15,2
4/28/2019,North Carolina,Virginia Tech,15,7
4/28/2019,North Carolina,North Carolina,8,15
4/28/2019,North Carolina,Maryland,14,9
4/28/2019,Johns Hopkins,Maryland,8,13
4/28/2019,Virginia Tech,Johns Hopkins,12,14
4/28/2019,Maryland,North Carolina,13,12
4/28/2019,William,Johns Hopkins,11,12
4/28/2019,Maryland,South Carolina,15,13
4/27/2019,William,Georgetown,12,10
4/27/2019,Johns Hopkins,Virginia,15,8
4/27/2019,Duke,Maryland,11,14
4/27/2019,James Madison,South Carolina,6,15
4/28/2019,William,South Carolina,6,11
4/28/2019,Virginia,James Madison,13,4
4/28/2019,Georgetown,Virginia,12,14
4/28/2019,Duke,James Madison,11,13
4/28/2019,Georgetown,Duke,1,0
4/28/2019,North Carolina,Appalachian State,13,11
4/27/2019,East Carolina,North Carolina,13,15
4/27/2019,Liberty,Appalachian State,11,13
4/28/2019,East Carolina,Liberty,9,13
Date,Home Team,Away Team,Home Score,Away Score
Sat 4/27,Mary Washington,Navy,14,15
Sat 4/27,Davidson,High Point,15,5
Sat 4/27,Mary Washington,High Point,12,6
Sat 4/27,Davidson,Navy,15,6
Sat 4/27,Navy,High Point,9,12
Sat 4/27,Mary Washington,Davidson,11,10
Sat 4/27,North Carolina,Christopher Newport,13,11
Sat 4/27,Richmond,Elon,15,8
Sat 4/27,Richmond,Christopher Newport,15,6
Sat 4/27,North Carolina,Elon,10,8
Sat 4/27,Richmond,North Carolina,15,9
Sat 4/27,Elon,Christopher Newport,15,8
4/28/2019,North Carolina,Richmond,6,15
4/28/2019,Mary Washington,North Carolina,12,13
4/28/2019,Davidson,Richmond,5,15
4/28/2019,Mary Washington,Christopher Newport,15,7
4/28/2019,North Carolina,High Point,13,11
4/28/2019,Davidson,Elon,12,10
4/28/2019,Richmond,Navy,15,7
4/28/2019,High Point,Navy,F,F
4/28/2019,Christopher Newport,High Point,10,12
4/28/2019,Elon,Navy,13,15
4/28/2019,Mary Washington,Davidson,5,7
4/28/2019,Christopher Newport,Elon,F,F
Date,Home Team,Away Team,Home Score,Away Score
Sat 4/27,Delaware,South Carolina,12,7
Sat 4/27,Virginia Tech,American,15,2
Sat 4/27,Delaware,American,13,5
Sat 4/27,Virginia Tech,South Carolina,13,11
Sat 4/27,Delaware,Virginia Tech,8,10
Sat 4/27,South Carolina,American,15,1
Sat 4/27,Maryland,George Washington,13,5
Sat 4/27,Virginia,James Madison,9,12
Sat 4/27,Maryland,James Madison,11,7
Sat 4/27,Virginia,George Washington,15,9
Sat 4/27,Maryland,Virginia,11,8
Sat 4/27,George Washington,James Madison,4,15
4/28/2019,South Carolina,Maryland,13,10
4/28/2019,Virginia Tech,South Carolina,10,12
4/28/2019,Virginia,Maryland,7,10
4/28/2019,Virginia Tech,George Washington,15,3
4/28/2019,James Madison,South Carolina,6,15
4/28/2019,Delaware,Virginia,11,13
4/28/2019,Maryland,American,15,4
4/28/2019,James Madison,Delaware,9,13
4/28/2019,George Washington,James Madison,5,15
4/28/2019,Delaware,American,15,5
4/28/2019,Virginia Tech,Virginia,13,9
4/28/2019,George Washington,American,0,0
Date,Home Team,Away Team,Home Score,Away Score
Sat 4/27,Illinois State,Chicago,8,9
Sat 4/27,Michigan,Chicago,12,4
Sat 4/27,Michigan,Illinois State,11,10
Sat 4/27,Grand Valley,Kentucky,12,10
Sat 4/27,Notre Dame,Kentucky,15,1
Sat 4/27,Notre Dame,Grand Valley,10,12
Sat 4/27,Purdue,Michigan,10,11
Sat 4/27,Northwestern,Michigan,15,1
Sat 4/27,Northwestern,Purdue,6,11
Sat 4/27,Indiana,Loyola,15,4
Sat 4/27,Illinois,Loyola,15,6
Sat 4/27,Illinois,Indiana,9,6
4/28/2019,Michigan,Indiana,13,4
4/28/2019,Michigan,Illinois,11,9
4/28/2019,Indiana,Chicago,13,10
4/28/2019,Michigan,Notre Dame,11,7
4/28/2019,Illinois,Purdue,10,8
4/28/2019,Northwestern,Indiana,7,10
4/28/2019,Grand Valley,Chicago,7,11
4/28/2019,Notre Dame,Michigan,13,6
4/28/2019,Purdue,Kentucky,11,10
4/28/2019,Indiana,Illinois State,13,7
4/28/2019,Chicago,Loyola,13,5
4/28/2019,Illinois,Chicago,11,1
4/28/2019,Purdue,Northwestern,8,9
4/28/2019,Notre Dame,Purdue,6,10
4/28/2019,Northwestern,Grand Valley,13,12
4/28/2019,Notre Dame,Grand Valley,5,11
4/28/2019,Michigan,Illinois State,9,10
4/28/2019,Michigan,Kentucky,14,5
4/28/2019,Illinois State,Loyola,12,6
4/28/2019,Kentucky,Loyola,11,7
Date,Home Team,Away Team,Home Score,Away Score
Sat 4/27,Knox,North Park,11,5
Sat 4/27,Valparaiso,Eastern Illinois,12,0
Sat 4/27,Knox,Eastern Illinois,13,5
