Id,Label,timeset,division,region
North Carolina,North Carolina,,Division I,Atlantic Coast
Duke,Duke,,Division I,Atlantic Coast
Johns Hopkins,Johns Hopkins,,Division I,Atlantic Coast
East Carolina,East Carolina,,Division I,Atlantic Coast
Virginia,Virginia,,Division I,Atlantic Coast
North Carolina State,North Carolina State,,Division I,Atlantic Coast
Maryland,Maryland,,Division I,Atlantic Coast
Appalachian State,Appalachian State,,Division I,Atlantic Coast
North Carolina-Wilmington,North Carolina-Wilmington,,Division I,Atlantic Coast
Liberty,Liberty,,Division I,Atlantic Coast
James Madison,James Madison,,Division I,Atlantic Coast
William & Mary,William & Mary,,Division I,Atlantic Coast
South Carolina,South Carolina,,Division I,Atlantic Coast
Georgetown,Georgetown,,Division I,Atlantic Coast
Virginia Tech,Virginia Tech,,Division I,Atlantic Coast
North Carolina B,North Carolina B,,,Atlantic Coast
Navy,Navy,,Division III,Atlantic Coast
Mary Washington,Mary Washington,,Division III,Atlantic Coast
Davidson,Davidson,,Division III,Atlantic Coast
High Point,High Point,,Division III,Atlantic Coast
North Carolina-Asheville,North Carolina-Asheville,,Division III,Atlantic Coast
Christopher Newport,Christopher Newport,,Division III,Atlantic Coast
Richmond,Richmond,,Division III,Atlantic Coast
Elon,Elon,,Division III,Atlantic Coast
Delaware B,Delaware B,,,Atlantic Coast
South Carolina B,South Carolina B,,,Atlantic Coast
Virginia Tech B,Virginia Tech B,,,Atlantic Coast
American B,American B,,,Atlantic Coast
Maryland B,Maryland B,,,Atlantic Coast
George Washington B,George Washington B,,,Atlantic Coast
James Madison B,James Madison B,,,Atlantic Coast
Virginia B,Virginia B,,,Atlantic Coast
Chicago,Chicago,,Division I,Great Lakes
Illinois State,Illinois State,,Division I,Great Lakes
Michigan,Michigan,,Division I,Great Lakes
Grand Valley State,Grand Valley State,,,Great Lakes
Kentucky,Kentucky,,Division I,Great Lakes
Notre Dame,Notre Dame,,Division I,Great Lakes
Michigan B,Michigan B,,,Great Lakes
Purdue,Purdue,,Division I,Great Lakes
Northwestern,Northwestern,,Division I,Great Lakes
Indiana,Indiana,,Division I,Great Lakes
Loyola-Chicago,Loyola-Chicago,,,Great Lakes
Illinois,Illinois,,Division I,Great Lakes
Knox,Knox,,Division III,Great Lakes
North Park,North Park,,,Great Lakes
Valparaiso,Valparaiso,,,Great Lakes
Eastern Illinois,Eastern Illinois,,,Great Lakes
Butler,Butler,,Division III,Great Lakes
Wheaton Illinois,Wheaton Illinois,,,Great Lakes
Olivet Nazarene,Olivet Nazarene,,Division III,Great Lakes
Rose-Hulman,Rose-Hulman,,,Great Lakes
Syracuse,Syracuse,,Division I,Metro East
