Washington State,Oregon State B,13,4
Washington C,Pacific Lutheran B,13,1
Parkland - PLU Alumni,Oregon State B,13,2
Washington State,Pacific Lutheran B,13,0
Washington State,Parkland - PLU Alumni,5,13
Oregon State B,Washington C,5,10
Parkland - PLU Alumni,Washington C,13,4
Oregon State B,Pacific Lutheran B,11,2
Parkland - PLU Alumni,Pacific Lutheran B,13,1
Washington State,Washington C,13,3
Gonzaga,Willamette University,13,8
Whitworth,Washington B,5,13
Gonzaga,Whitworth,8,13
Washington B,Willamette University,13,4
Gonzaga,Washington B,13,8
Whitworth,Willamette University,13,6
Lewis & Clark,Seattle B,13,3
Pacific Lutheran,Western Washington University B,12,8
Pacific Lutheran,Lewis & Clark,8,12
Western Washington University B,Seattle B,11,10
Lewis & Clark,Western Washington University B,13,6
Pacific Lutheran,Seattle B,13,3
Lewis & Clark,Willamette University,13,3
Washington B,Seattle B,15,0
Pacific Lutheran,Whitworth,7,12
Gonzaga,Western Washington University B,12,7
Washington B,Lewis & Clark,9,11
Parkland - PLU Alumni,Washington B,11,14
Whitworth,Lewis & Clark,7,15
Parkland - PLU Alumni,Washington C,15,2
Washington B,Gonzaga,13,7
Washington State,Whitworth,9,13
Lewis & Clark,Pacific Lutheran,15,6
Parkland - PLU Alumni,Whitworth,0,15
Gonzaga,Washington State,6,15
Washington C,Gonzaga,8,14
Washington State,Pacific Lutheran,14,7
Washington C,Pacific Lutheran,3,15
Western Washington University B,Willamette University,13,14
Western Washington University B,Seattle B,12,8
Oregon State B,Willamette University,12,14
Seattle B,Pacific Lutheran B,15,3
Pacific Lutheran B,Oregon State B,2,15
