Cal Poly-SLO,British Columbia,13,6
Brigham Young,Whitman,13,9
Victoria,Western Washington,13,6
Oregon State,Stanford,14,12
Brigham Young,Stanford,13,8
Washington,Oregon State,13,7
Whitman,Victoria,11,13
British Columbia,Western Washington,9,13
Cal Poly-SLO,Whitman,13,7
Washington,Victoria,13,9
Brigham Young,British Columbia,13,7
Cal Poly-SLO,Western Washington,13,5
British Columbia,Stanford,7,13
Brigham Young,Victoria,13,8
Cal Poly-SLO,Stanford,12,10
Whitman,Western Washington,6,13
Victoria,Oregon State,12,11
Washington,British Columbia,13,8
British Columbia,Oregon State,12,10
Stanford,Western Washington,12,13
Cal Poly-SLO,Victoria,13,8
Whitman,British Columbia,9,13
Cal Poly-SLO,Washington,13,9
Oregon State,Western Washington,9,12
Brigham Young,Washington,13,12
Cal Poly-SLO,Oregon State,13,8
Whitman,Stanford,10,13
Washington,Western Washington,13,7
Cal Poly-SLO,Brigham Young,9,13
Whitman,Oregon State,13,10
Brigham Young,Oregon State,13,8
Washington,Whitman,9,2
Brigham Young,Western Washington,13,6
