Occidental,Caltech,12,13
California-Irvine,Grand Canyon,5,13
California-Irvine,Caltech,10,9
Occidental,California-Irvine,13,5
Caltech,Grand Canyon,5,10
Occidental,Grand Canyon,9,10
Cal Poly-Pomona,Biola Univeristy,15,0
Cal Poly-Pomona,Claremont,6,13
Biola Univeristy,California-San Diego B,0,15
Cal Poly-Pomona,California-San Diego B,8,7
Claremont,Biola Univeristy,15,0
Claremont,California-San Diego B,12,10
Grand Canyon,Occidental,9,8
Grand Canyon,Cal Poly-Pomona,9,8
Claremont,Occidental,11,13
California-Irvine,California-San Diego B,11,10
Cal Poly-Pomona,Claremont,7,11
