Texas State,Oklahoma,13,3
Colorado College,Texas-Dallas,13,1
Texas State,Colorado College,13,8
Texas-San Antonio,Texas-Dallas,11,7
Texas-Dallas,Oklahoma,5,12
Texas-San Antonio,Colorado College,1,13
Texas State,Texas-Dallas,13,3
Texas-San Antonio,Oklahoma,13,4
Texas State,Texas-San Antonio,13,4
Colorado College,Oklahoma,13,2
Texas Tech,Southern Methodist,13,2
Texas Tech,Oklahoma,13,9
Rice,Oklahoma,11,10
Rice,Southern Methodist,13,2
Texas Tech,Rice,13,8
Oklahoma,Southern Methodist,13,0
Oklahoma State,North Texas,13,0
John Brown,Kansas State,13,8
Oklahoma State,John Brown,11,10
Nebraska,Kansas State,11,13
Kansas State,North Texas,13,6
Nebraska,John Brown,9,10
Oklahoma State,Kansas State,13,2
Nebraska,North Texas,13,4
Oklahoma State,Nebraska,13,4
John Brown,North Texas,13,2
North Texas,Texas State,13,3
Stephen F Austin,Sam Houston State,10,11
North Texas,Stephen F Austin,13,0
Baylor,Sam Houston State,12,4
Sam Houston State,Texas State,9,11
Baylor,Stephen F Austin,13,4
North Texas,Sam Houston State,13,0
Baylor,Texas State,13,8
North Texas,Baylor,7,8
Stephen F Austin,Texas State,8,11
Texas-Dallas,Stephen F Austin,5,15
Southern Methodist,North Texas,11,10
Southern Methodist,Stephen F Austin,7,12
Texas-Dallas,North Texas,8,9
Southern Methodist,Texas-Dallas,11,7
North Texas,Stephen F Austin,5,7
John Brown,Texas Tech,4,15
John Brown,Oklahoma,12,9
Texas Tech,Rice,14,11
Texas State,John Brown,9,11
Oklahoma,Baylor,15,10
Texas Tech,Kansas State,15,6
Rice,Oklahoma State,12,11
John Brown,Texas State,15,2
Colorado College,Oklahoma,4,12
Nebraska,Baylor,10,13
Texas Tech,Oklahoma,15,3
North Texas,Kansas State,9,12
Texas-San Antonio,Rice,6,13
Oklahoma State,Sam Houston State,15,0
Oklahoma,Rice,8,12
Baylor,Oklahoma State,10,15
Texas State,Baylor,0,15
Kansas State,Oklahoma State,1,11
Texas State,Kansas State,0,15
Colorado College,North Texas,0,15
North Texas,Texas-San Antonio,11,6
Colorado College,Nebraska,13,5
Oklahoma,North Texas,6,15
Texas-San Antonio,Sam Houston State,12,5
Texas State,Sam Houston State,0,15
Texas State,Nebraska,15,0
Oklahoma,Sam Houston State,3,6
Nebraska,Oklahoma,0,15
