Utah,Boise State,15,4
Montana,Utah State,11,13
Utah,Utah State,10,9
Montana,Boise State,11,9
Utah,Montana,12,8
Boise State,Utah State,9,13
Northern Arizona,Idaho,12,11
Brigham Young,Montana State,3,13
Northern Arizona,Brigham Young,8,6
Denver,Montana State,7,10
Montana State,Idaho,8,9
Denver,Brigham Young,9,7
Northern Arizona,Montana State,8,4
Denver,Idaho,11,7
Northern Arizona,Denver,7,6
Brigham Young,Idaho,11,9
Utah,Denver,13,10
Utah,Montana State,11,10
Boise State,Denver,1,15
Utah,Idaho,15,7
Montana State,Montana,10,7
Northern Arizona,Boise State,9,10
Utah State,Denver,11,12
Montana State,Boise State,8,9
Montana,Utah State,9,13
Idaho,Montana,8,15
Northern Arizona,Utah State,11,13
Idaho,Northern Arizona,14,11
