North Carolina,Duke,13,7
Carleton College-GoP,Richmond,13,9
North Carolina,Carleton College-GoP,13,2
Richmond,Duke,12,7
North Carolina,Richmond,13,4
Carleton College-GoP,Duke,13,10
North Carolina-Wilmington,Georgia Tech,8,9
Georgetown,Tennessee,11,7
North Carolina-Wilmington,Tennessee,10,4
Georgetown,Georgia Tech,10,11
North Carolina-Wilmington,Georgetown,10,5
Georgia Tech,Tennessee,11,8
North Carolina State,Temple,13,3
Florida State,Appalachian State,13,9
North Carolina State,Appalachian State,13,6
Florida State,Temple,11,9
North Carolina State,Florida State,13,2
Temple,Appalachian State,9,8
Notre Dame,South Carolina,11,10
Emory,Clemson,12,6
Emory,Notre Dame,9,13
South Carolina,Clemson,12,6
Emory,South Carolina,10,8
Notre Dame,Clemson,9,6
Richmond,Temple,7,11
Appalachian State,Duke,8,13
Georgetown,South Carolina,9,12
Clemson,Tennessee,13,8
Clemson,Duke,8,15
Tennessee,Appalachian State,13,9
North Carolina,North Carolina State,15,12
North Carolina,North Carolina-Wilmington,15,7
Emory,North Carolina State,9,15
North Carolina,Florida State,15,9
Notre Dame,North Carolina-Wilmington,10,15
Georgia Tech,Emory,10,13
North Carolina State,Carleton College-GoP,15,5
North Carolina-Wilmington,Emory,15,9
Florida State,Notre Dame,15,11
Florida State,Carleton College-GoP,15,12
Notre Dame,Georgia Tech,15,13
Carleton College-GoP,Georgia Tech,9,13
Georgetown,South Carolina,13,14
Temple,Georgetown,11,14
South Carolina,Richmond,15,4
Temple,Richmond,10,11
