North Carolina-Charlotte,Wingate,10,4
Georgia,Edinboro,13,5
North Carolina-Charlotte,Edinboro,13,3
Georgia,Wingate,10,7
North Carolina-Charlotte,Georgia,11,3
Wingate,Edinboro,11,9
Charleston,Anderson,9,10
Appalachian State,Anderson,13,1
Appalachian State,Charleston,13,1
Charleston,Edinboro,12,8
Wingate,Anderson,8,10
Appalachian State,Georgia,13,6
Charleston,Wingate,9,6
Wingate,Edinboro,10,7
Charleston,Edinboro,10,9
North Carolina-Charlotte,Appalachian State,12,9
North Carolina-Charlotte,Georgia,13,5
Appalachian State,Anderson,10,9
Georgia,Anderson,7,12
