Carnegie Mellon,Georgia Tech,12,8
North Carolina-Wilmington,Georgia,13,10
Northeastern,Georgia Tech,13,7
Georgia,Carnegie Mellon,13,9
Georgia,Northeastern,11,10
North Carolina-Wilmington,Carnegie Mellon,13,4
North Carolina-Wilmington,Georgia Tech,13,8
Carnegie Mellon,Northeastern,9,10
North Carolina-Wilmington,Northeastern,13,10
Georgia,Georgia Tech,11,10
North Carolina State,South Carolina,13,8
Tufts,Tennessee,13,9
Tufts,South Carolina,12,13
North Carolina State,Tennessee,13,4
North Carolina State,Tufts,13,10
Tennessee,South Carolina,10,12
Massachusetts,Kennesaw State,13,10
Kennesaw State,Florida State,11,13
Massachusetts,Pittsburgh,13,12
Kennesaw State,Pittsburgh,9,13
Massachusetts,Florida State,12,11
Florida State,Pittsburgh,6,15
Tufts,Florida State,13,8
Tennessee,Kennesaw State,11,13
Georgia,South Carolina,9,13
North Carolina State,Massachusetts,8,11
Georgia,Pittsburgh,3,13
North Carolina-Wilmington,North Carolina State,9,8
North Carolina-Wilmington,Massachusetts,7,10
South Carolina,Massachusetts,8,9
Carnegie Mellon,Florida State,8,9
Northeastern,Florida State,12,9
Northeastern,Tufts,9,10
Tufts,Kennesaw State,9,8
Georgia Tech,Tennessee,9,11
Georgia Tech,Kennesaw State,9,13
Carnegie Mellon,Tennessee,9,8
Pittsburgh,North Carolina State,10,5
Pittsburgh,South Carolina,11,8
