South Carolina,Georgia,13,2
South Florida,Charleston,13,7
South Carolina,South Florida,13,6
North Carolina-Asheville,Charleston,13,7
Charleston,Georgia,7,13
North Carolina-Asheville,South Florida,9,12
South Carolina,Charleston,13,4
North Carolina-Asheville,Georgia,13,6
South Carolina,North Carolina-Asheville,13,5
South Florida,Georgia,13,5
Emory,Florida Atlantic,13,6
Luther,North Florida,12,7
Emory,Luther,10,12
Chicago,North Florida,13,9
North Florida,Florida Atlantic,10,13
Chicago,Luther,10,12
Emory,North Florida,13,3
Chicago,Florida Atlantic,13,11
Emory,Chicago,13,8
Luther,Florida Atlantic,13,5
Middlebury,Florida,13,3
Wisconsin-Eau Claire,Florida Tech,7,13
Middlebury,Wisconsin-Eau Claire,13,5
Carleton College-GoP,Florida Tech,13,4
Florida Tech,Florida,11,9
Carleton College-GoP,Wisconsin-Eau Claire,13,8
Middlebury,Florida Tech,13,5
Carleton College-GoP,Florida,13,6
Middlebury,Carleton College-GoP,13,8
Wisconsin-Eau Claire,Florida,11,10
California-San Diego,Carleton Hot Karls,13,5
Georgia Southern,Georgia College,9,8
California-San Diego,Georgia Southern,13,7
Appalachian State,Georgia College,12,6
Georgia College,Carleton Hot Karls,13,7
Appalachian State,Georgia Southern,13,10
California-San Diego,Georgia College,13,6
Appalachian State,Carleton Hot Karls,13,4
California-San Diego,Appalachian State,13,9
Georgia Southern,Carleton Hot Karls,13,6
Charleston,Florida,15,8
North Florida,Carleton Hot Karls,11,9
Florida,Carleton Hot Karls,9,6
Charleston,Carleton Hot Karls,15,9
North Florida,Florida,13,15
Charleston,North Florida,15,13
South Carolina,Middlebury,15,11
South Carolina,Carleton College-GoP,15,7
South Florida,Middlebury,5,15
South Carolina,Emory,15,8
California-San Diego,Carleton College-GoP,12,13
Luther,South Florida,9,10
Middlebury,Appalachian State,15,8
Carleton College-GoP,South Florida,15,0
California-San Diego,Appalachian State,14,13
Emory,California-San Diego,10,12
Luther,Appalachian State,13,14
Emory,Luther,4,13
North Carolina-Asheville,Chicago,11,13
North Carolina-Asheville,Georgia Southern,12,10
Georgia College,Chicago,9,15
North Carolina-Asheville,Florida Atlantic,14,10
Georgia Southern,Wisconsin-Eau Claire,15,9
Florida Tech,Georgia College,8,15
Chicago,Georgia,15,7
Georgia Southern,Georgia College,12,15
Wisconsin-Eau Claire,Florida Tech,13,15
Florida Atlantic,Wisconsin-Eau Claire,12,14
Florida Tech,Georgia,12,11
Florida Atlantic,Georgia,9,15
