Macalester,Milwaukee School of Engineering,11,9
Michigan Tech,Pacific Lutheran,12,4
Pacific Lutheran,Macalester,8,11
Michigan Tech,Milwaukee School of Engineering,12,4
Pacific Lutheran,Milwaukee School of Engineering,11,12
Michigan Tech,Macalester,12,7
Portland,Ohio Northern,12,9
Missouri S&T,Grinnell,9,5
Portland,Grinnell,13,2
Missouri S&T,Ohio Northern,12,10
Missouri S&T,Portland,5,7
North Park,Indiana Wesleyan,9,6
St Olaf,Puget Sound,9,10
North Park,Puget Sound,5,10
St Olaf,Indiana Wesleyan,11,3
Puget Sound,Indiana Wesleyan,8,3
St Olaf,North Park,10,3
Oberlin,Rose-Hulman,7,5
Brandeis,Winona State,9,8
Brandeis,Oberlin,12,10
Winona State,Rose-Hulman,7,3
Oberlin,Winona State,5,6
Brandeis,Rose-Hulman,13,6
Michigan Tech,Portland,13,8
Michigan Tech,Ohio Northern,13,5
St Olaf,Portland,8,6
Missouri S&T,St Olaf,7,8
Puget Sound,Portland,7,8
Michigan Tech,Missouri S&T,5,7
Brandeis,St Olaf,6,8
Puget Sound,Winona State,11,8
Portland,Macalester,11,9
Michigan Tech,Rose-Hulman,13,3
Missouri S&T,North Park,9,6
Brandeis,Pacific Lutheran,9,3
St Olaf,Ohio Northern,11,7
Puget Sound,Grinnell,8,4
Milwaukee School of Engineering,Winona State,7,10
Portland,Indiana Wesleyan,13,0
Oberlin,Macalester,6,10
