Berry,Samford,12,11
Elon,Oberlin,13,11
Xavier,Navy,13,11
North Carolina-Asheville,Messiah,11,10
Mary Washington,Georgia College,12,10
Florida Tech,Davidson,11,12
Air Force,Campbell,13,9
Franciscan,Richmond,11,13
Davidson,Rensselaer Polytech,9,7
Oberlin,Mary Washington,9,10
Air Force,Messiah,13,8
Navy,Georgia College,11,13
Richmond,Samford,13,5
Missouri S&T,Anderson,13,1
Florida Tech,Berry,7,12
High Point,Xavier,13,10
Middlebury,North Carolina-Asheville,13,10
Franciscan,Navy,13,10
Anderson,Berry,9,11
Rensselaer Polytech,Elon,10,13
Samford,Campbell,9,7
Middlebury,Georgia College,13,7
Missouri S&T,Richmond,8,13
North Carolina-Asheville,Oberlin,11,9
Air Force,Davidson,12,9
Elon,Mary Washington,10,12
Franciscan,Georgia College,13,5
Berry,High Point,12,13
North Carolina-Asheville,Campbell,13,9
Middlebury,Davidson,13,6
Rensselaer Polytech,Xavier,11,12
Air Force,Florida Tech,13,8
Messiah,Anderson,13,5
Missouri S&T,Oberlin,13,8
Samford,Rensselaer Polytech,13,11
Missouri S&T,Messiah,12,13
Mary Washington,Florida Tech,14,12
Franciscan,Anderson,10,6
Campbell,Xavier,11,13
Elon,Richmond,8,12
High Point,Navy,7,13
Air Force,Middlebury,13,14
Florida Tech,High Point,10,11
Richmond,Oberlin,12,7
Xavier,Middlebury,7,13
Air Force,Navy,13,11
Rensselaer Polytech,Messiah,10,13
North Carolina-Asheville,Franciscan,8,13
Samford,Anderson,13,8
Georgia College,Davidson,11,13
Mary Washington,Missouri S&T,13,8
Davidson,Missouri S&T,8,10
Air Force,Richmond,7,11
Samford,Messiah,10,12
Campbell,Florida Tech,8,13
Middlebury,Mary Washington,13,11
Navy,Berry,5,13
Franciscan,Elon,13,10
Georgia College,Rensselaer Polytech,13,10
High Point,Oberlin,7,13
Samford,North Carolina-Asheville,11,13
Anderson,Mary Washington,10,12
Elon,Florida Tech,13,8
Missouri S&T,Xavier,13,9
Oberlin,Rensselaer Polytech,6,13
Richmond,Georgia College,9,7
Xavier,Berry,11,13
Messiah,Elon,9,12
Navy,North Carolina-Asheville,4,11
Berry,Campbell,13,4
Anderson,High Point,13,11
