Illinois B,Belmont,7,13
Georgia Tech B,Union Tennessee,4,13
Illinois B,Union Tennessee,4,13
Georgia Tech B,Belmont,7,10
Illinois B,Georgia Tech B,6,8
Belmont,Union Tennessee,12,11
Alabama B,Indiana B,8,10
Truman State,Alabama-Huntsville B,13,5
Alabama B,Alabama-Huntsville B,10,9
Truman State,Indiana B,13,6
Alabama B,Truman State,3,13
Indiana B,Alabama-Huntsville B,10,8
Illinois B,Truman State,4,13
Alabama B,Georgia Tech B,5,8
Belmont,Alabama-Huntsville B,12,11
Union Tennessee,Indiana B,10,6
Illinois B,Union Tennessee,15,0
Indiana B,Alabama-Huntsville B,12,6
Union Tennessee,Alabama-Huntsville B,15,0
Truman State,Belmont,14,4
Truman State,Alabama B,15,0
Georgia Tech B,Belmont,2,14
Union Tennessee,Alabama B,10,13
Indiana B,Georgia Tech B,6,12
