Western Washington,Washington State,2,15
Oregon,Washington State,15,4
Oregon,Western Washington,15,2
Oregon State,Humboldt State,13,8
Lewis & Clark College,Washington,13,1
Oregon State,Washington,13,0
Lewis & Clark College,Humboldt State,13,8
Oregon State,Lewis & Clark College,13,4
Humboldt State,Washington,13,3
Whitman,Washington,13,7
Nevada-Reno,Oregon State,13,2
Whitman,Oregon State,13,1
Nevada-Reno,Washington,13,3
Whitman,Nevada-Reno,13,7
Washington,Oregon State,13,8
Gonzaga,Portland State,13,4
Puget Sound,Lewis & Clark,13,1
Gonzaga,Lewis & Clark,13,0
Puget Sound,Portland State,13,6
Gonzaga,Puget Sound,13,7
Portland State,Lewis & Clark,13,1
Oregon,Oregon State,15,8
Oregon,Whitman,15,8
Oregon State,Gonzaga,14,9
Oregon,Puget Sound,15,3
Whitman,Lewis & Clark College,15,5
Oregon State,Nevada-Reno,15,8
Gonzaga,Washington State,13,11
Nevada-Reno,Lewis & Clark College,15,11
Washington State,Nevada-Reno,11,15
Puget Sound,Lewis & Clark College,11,15
Puget Sound,Washington State,15,5
Whitman,Gonzaga,15,7
Western Washington,Washington,15,14
Washington,Lewis & Clark,15,0
Humboldt State,Portland State,13,9
Western Washington,Washington,8,15
Humboldt State,Lewis & Clark,15,2
Oregon State,Washington,15,12
Western Washington,Oregon State,15,9
Portland State,Washington,15,7
Washington,Humboldt State,15,13
Portland State,Western Washington,15,6
Washington,Lewis & Clark,15,5
Washington,Oregon State,15,7
