Harvard,Oklahoma,13,9

Kansas,Kennesaw State,10,12

Alabama-Huntsville,Texas-Dallas,7,13

Texas A&M,South Carolina,10,12

Rutgers,Michigan,10,13

Northeastern,Northwestern,11,12

Georgia,Texas A&M,13,12

Illinois State,South Carolina,10,12

Central Florida,Tufts,13,11
Carleton College-CUT,
LSU,Northeastern,8,9

Brigham Young,Texas,13,12

Cornell,Kansas,9,12

Texas-Dallas,Kennesaw State,13,9

Pittsburgh,Northwestern,13,7

Virginia Tech,Florida State,9,13

Boston College,Michigan,9,13

Rutgers,Florida,11,9

Harvard,Carleton College,12,14

Kennesaw State,Northwestern,13,8

Central Florida,Texas,13,7

Emory,Oklahoma,12,8
Carleton College-CUT,
Cincinnati,Cornell,10,13

Rutgers,Georgia,6,13
Carleton College-CUT,
Texas-Dallas,Brown,10,12

Virginia Tech,Wisconsin,13,12

LSU,Harvard,10,11

Minnesota,Florida State,13,10

Boston College,Illinois State,12,13

Michigan,Florida,13,6

South Florida,Brigham Young,7,13

South Carolina,Alabama-Huntsville,13,10

Northeastern,Texas A&M,9,12

Kansas,Temple,12,13

Central Florida,Virginia Tech,13,6

Brown,Minnesota,13,7
Carleton College-CUT,
Alabama-Huntsville,Cornell,11,7

Oklahoma,Illinois State,10,9

Wisconsin,Brigham Young,15,14

Temple,Tufts,6,13

Carleton College-CUT,cinnati,13,8

Pittsburgh,South Florida,13,3

Emory,Carleton College,8,13

Boston College,Temple,7,12

Brigham Young,LSU,13,9

Tufts,Emory,11,10

Pittsburgh,Carleton College,13,11

Cincinnati,South Florida,13,10
Carleton College-CUT,
Texas,Minnesota,12,10

Wisconsin,Florida,13,11

Georgia,Brown,9,13

Cincinnati,Alabama-Huntsville,11,9

Virginia Tech,Texas A&M,5,11

Emory,Michigan,6,13

Brigham Young,Northwestern,13,9

Texas-Dallas,Northeastern,10,7

South Florida,Oklahoma,5,13

Texas,LSU,10,7

Temple,Kennesaw State,6,11

Minnesota,Harvard,10,8

Boston College,Florida State,7,13

Illinois State,Central Florida,7,11

Rutgers,South Carolina,8,10

Boston College,Virginia Tech,7,13

Florida,Northwestern,11,10

Georgia,Minnesota,11,9

Cincinnati,Oklahoma,7,13

Tufts,Texas,9,11

Brigham Young,Pittsburgh,12,11

Texas-Dallas,South Florida,12,3

Kansas,Carleton College,5,13

LSU,Wisconsin,11,8

Cornell,Brown,7,13

Michigan,Texas A&M,12,8

Northeastern,South Carolina,12,9

Harvard,Temple,12,3

Brown,Northwestern,12,10

Florida,Kansas,13,5

Texas-Dallas,Illinois State,9,8

Carleton College,Central Florida,8,13

Carleton College-CUT,cinnati,13,5

Texas A&M,FloriCarleton College-CUT,

Oklahoma,GeorCarleton College-CUT,

Michigan,Cornell,13,0

Pittsburgh,Wisconsin,10,7

Boston College,Emory,8,10

Kennesaw State,Tufts,11,9

Harvard,Alabama-Huntsville,8,9

Minnesota,Rutgers,10,9

Central Florida,Pittsburgh,7,13

Georgia,LSU,11,8

Illinois State,Kansas,10,11

Temple,South Florida,10,5

Brown,Emory,13,5

Brigham Young,Carleton College,13,10

Northeastern,Kennesaw State,12,9

South Carolina,Florida State,13,4

Tufts,Wisconsin,9,10

Alabama-Huntsville,Virginia Tech,9,8

Rutgers,Texas,6,12

Florida,Cornell,12,13

Florida Gulf Coast,Embry-Riddle Florida,13,9

North Florida,Northwestern B,13,0

Florida B,Florida Tech B,13,5

Boston College B,High Point,9,10

Florida Tech B,Stetson,13,14

Embry-Riddle Florida,South Florida B,13,6

Florida State B,Florida Gulf Coast,9,11

Boston College B,Florida B,6,13

High Point,Central Florida B,8,10

Florida Gulf Coast,Central Florida B,11,9

Boston College B,Stetson,13,6

Florida B,Embry-Riddle Florida,13,5

North Florida,Florida State B,13,10

Northwestern B,South Florida B,10,7

High Point,Northwestern B,9,7

Florida State B,Stetson,13,7

North Florida,Florida Tech B,13,5

South Florida B,Central Florida B,8,13

Boston College B,North Florida,8,12

Florida B,Central Florida B,13,7

Florida Tech B,South Florida B,12,4

Embry-Riddle Florida,High Point,9,11

Florida B,Northwestern B,11,5

Florida State B,High Point,12,6

Florida Tech B,Florida Gulf Coast,4,13

Boston College B,South Florida B,12,4

Central Florida B,Stetson,12,11

Florida Gulf Coast,Northwestern B,10,7

North Florida,Central Florida B,13,3

Florida Tech B,High Point,7,13

Florida State B,Florida B,11,7

Embry-Riddle Florida,Stetson,13,1

Florida State B,South Florida B,13,4

North Florida,Embry-Riddle Florida,13,6

Boston College B,Florida Gulf Coast,13,4

Northwestern B,Stetson,13,3

South Florida,Boston College,6,14

Florida,Cincinnati,13,12

Boston College,Cincinnati,3,10

South Florida,Florida,7,10

Brown,Central Florida,15,9

Brown,Georgia,15,11

Central Florida,Texas,12,11

Brown,Texas A&M,15,9

Michigan,Georgia,8,13

Central Florida,Texas-Dallas,12,11

Pittsburgh,Texas,10,15

Georgia,Texas,10,13

Texas A&M,Pittsburgh,10,12

Texas A&M,Michigan,14,13

Texas-Dallas,Pittsburgh,10,12

Michigan,Texas-Dallas,10,9

LSU,Tufts,12,11

LSU,Harvard,15,10

Minnesota,Tufts,8,15

South Carolina,LSU,10,15

Kennesaw State,Harvard,11,12

Northeastern,Minnesota,9,13

Carleton College,Tufts,13,15

Harvard,Minnesota,7,11

Kennesaw State,Carleton College,4,15

South Carolina,Kennesaw State,12,13

Northeastern,Carleton College,10,15

South Carolina,Northeastern,6,11

Wisconsin,Emory,15,5

Wisconsin,Alabama-Huntsville,15,7

Emory,Oklahoma,13,11

Wisconsin,Illinois State,15,7

Alabama-Huntsville,Rutgers,15,11

