Stevens Tech,Penn State,12,11
Bryant University,Fairfield,13,3
Stevens Tech,Fairfield,13,5
Bryant University,Penn State,13,5
Stevens Tech,Bryant University,3,13
Penn State,Fairfield,13,5
Navy,West Virginia,9,11
College of New Jersey,Dickinson,12,13
Navy,Dickinson,10,12
College of New Jersey,West Virginia,11,7
Navy,College of New Jersey,12,8
West Virginia,Dickinson,9,10
Salisbury,Sacred Heart,13,4
Lancaster Bible,Princeton,5,13
Salisbury,Lancaster Bible,13,2
Sacred Heart,Princeton,4,11
Salisbury,Princeton,13,7
Lancaster Bible,Sacred Heart,3,11
Susquehanna,Temple,9,11
Slippery Rock,Lehigh,13,1
Susquehanna,Slippery Rock,5,13
Lehigh,Temple,4,11
Susquehanna,Lehigh,13,6
Slippery Rock,Temple,13,4
Bryant University,Salisbury,13,1
Bryant University,Slippery Rock,13,2
Salisbury,Dickinson,12,7
West Virginia,Bryant University,2,13
Slippery Rock,Navy,14,11
Stevens Tech,Salisbury,11,12
Dickinson,Fairfield,12,5
West Virginia,Princeton,10,9
Penn State,Slippery Rock,6,7
Salisbury,College of New Jersey,13,6
Temple,Fairfield,8,10
Penn State,College of New Jersey,7,2
Princeton,Penn State,5,13
College of New Jersey,Temple,12,8
Princeton,Lehigh,13,9
Penn State,Susquehanna,13,10
College of New Jersey,Sacred Heart,13,6
Temple,Lancaster Bible,13,3
Susquehanna,Lancaster Bible,15,0
Lehigh,Susquehanna,6,7
Sacred Heart,Lancaster Bible,8,9
Lehigh,Sacred Heart,0,15
Navy,Stevens Tech,0,15
West Virginia,Navy,0,15
Stevens Tech,Fairfield,13,5
Slippery Rock,Dickinson,0,15
