Michigan,Texas A&M,9,8
Vermont,Texas Tech,5,11
Michigan,Texas Tech,9,10
Vermont,Texas A&M,10,9
Cincinnati,Illinois State,10,8
Iowa State,Illinois State,11,5
Illinois,Washington University,11,2
Tulane,Marquette,6,7
Illinois,Marquette,11,4
Tulane,Washington University,7,2
Florida State,Chicago,8,7
Kansas,Arizona State,11,7
Florida State,Arizona State,7,5
Kansas,Chicago,11,8
Purdue,John Brown,11,9
Carnegie Mellon,Arkansas,11,2
Purdue,Arkansas,11,2
Carnegie Mellon,John Brown,11,1
Michigan,Illinois,11,5
Michigan,Purdue,10,8
Illinois,Texas Tech,8,7
Michigan,Vermont,9,6
Purdue,Texas A&M,11,7
Illinois,Carnegie Mellon,6,5
Kansas,Texas Tech,4,7
Purdue,Iowa State,9,7
Cincinnati,Illinois,6,10
Purdue,Texas Tech,9,10
Texas A&M,Carnegie Mellon,9,6
Vermont,Texas A&M,7,9
Carnegie Mellon,Kansas,9,5
Vermont,Kansas,7,3
Cincinnati,Iowa State,11,7
Marquette,Cincinnati,5,7
Iowa State,John Brown,6,4
Marquette,Arizona State,10,5
Iowa State,Illinois State,7,3
Washington University,John Brown,6,7
Cincinnati,Arkansas,9,5
Arizona State,John Brown,11,10
Illinois State,Washington University,6,7
Marquette,Arkansas,9,6
Marquette,John Brown,8,11
Washington University,Arkansas,6,5
Arizona State,Washington University,3,6
Illinois State,Arkansas,6,8
