Catholic,Haverford,6,8
Franklin & Marshall,New Jersey Tech,6,12
Villanova,Haverford,10,3
Catholic,Franklin & Marshall,13,4
Villanova,New Jersey Tech,13,3
Haverford,Franklin & Marshall,13,0
Villanova,Franklin & Marshall,13,0
Catholic,New Jersey Tech,13,3
Villanova,Catholic,12,7
Haverford,New Jersey Tech,13,0
Pennsylvania,Swarthmore,13,5
Millersville,Muhlenberg,8,10
Pennsylvania,Muhlenberg,12,3
Millersville,Swarthmore,3,13
Pennsylvania,Millersville,13,3
Swarthmore,Muhlenberg,12,4
West Chester,Jefferson,13,7
Delaware,Villanova B,13,3
West Chester,Villanova B,13,4
Delaware,Jefferson,12,1
Delaware,West Chester,9,8
Villanova B,Jefferson,12,1
Muhlenberg,Villanova B,11,7
Millersville,Jefferson,7,3
Swarthmore,West Chester,10,8
Pennsylvania,Delaware,7,10
Villanova,Delaware,9,7
Pennsylvania,Haverford,13,5
Swarthmore,Catholic,11,7
Millersville,Villanova B,8,9
Muhlenberg,New Jersey Tech,15,0
