Wisconsin-Milwaukee,Wisconsin B,11,9
Wisconsin-Whitewater,Toledo,13,1
Wisconsin-Milwaukee,Wisconsin-Whitewater,8,11
Michigan State,Toledo,10,8
Toledo,Wisconsin B,8,9
Michigan State,Wisconsin-Whitewater,6,13
Wisconsin-Milwaukee,Toledo,5,2
Michigan State,Wisconsin B,5,7
Wisconsin-Milwaukee,Michigan State,8,4
Wisconsin-Whitewater,Wisconsin B,8,4
Michigan B,Loyola-Chicago,12,11
DePaul,Northern Iowa,9,11
Michigan B,DePaul,10,9
Grand Valley State,Northern Iowa,13,8
Northern Iowa,Loyola-Chicago,4,13
Grand Valley State,DePaul,13,10
Michigan B,Grand Valley State,6,8
DePaul,Loyola-Chicago,4,6
Michigan B,Northern Iowa,8,6
Grand Valley State,Loyola-Chicago,9,7
Wisconsin-Platteville,Michigan State B,13,2
Purdue B,Illinois State B,9,3
Wisconsin-Platteville,Purdue B,11,10
Indiana B,Illinois State B,12,5
Illinois State B,Michigan State B,9,10
Indiana B,Purdue B,6,8
Wisconsin-Platteville,Indiana B,12,2
Purdue B,Michigan State B,9,6
Wisconsin-Platteville,Illinois State B,9,5
Indiana B,Michigan State B,8,6
Missouri State,Wisconsin C,13,2
Washington University B,Wisconsin-Milwaukee B,13,6
Missouri State,Washington University B,13,7
Illinois B,Wisconsin-Milwaukee B,11,7
Wisconsin-Milwaukee B,Wisconsin C,3,11
Illinois B,Washington University B,8,5
Missouri State,Wisconsin-Milwaukee B,7,0
Missouri State,Illinois B,9,7
Washington University B,Wisconsin C,6,4
Wisconsin-Whitewater,Grand Valley State,13,12
Wisconsin-Whitewater,Michigan B,11,3
Wisconsin-Milwaukee,Grand Valley State,7,10
Michigan State,Wisconsin-Whitewater,8,11
Wisconsin B,Michigan B,4,11
Wisconsin-Milwaukee,Wisconsin-Platteville,8,3
Grand Valley State,Northern Iowa,13,4
Michigan State,DePaul,7,6
Wisconsin B,Missouri State,8,7
Wisconsin-Platteville,Loyola-Chicago,9,6
Northern Iowa,Toledo,8,4
Missouri State,Loyola-Chicago,0,15
DePaul,Missouri State,5,9
Loyola-Chicago,Toledo,15,0
Wisconsin B,Wisconsin-Platteville,10,6
Michigan State,Wisconsin B,0,15
Wisconsin-Platteville,Northern Iowa,11,9
Michigan B,Wisconsin-Milwaukee,3,7
Purdue B,Illinois B,5,9
Purdue B,Washington University B,10,7
Indiana B,Illinois B,4,7
Purdue B,Wisconsin-Milwaukee B,7,4
Washington University B,Michigan State B,7,6
Indiana B,Wisconsin C,8,7
Illinois State B,Illinois B,6,7
Wisconsin-Milwaukee B,Illinois State B,4,5
Wisconsin-Milwaukee B,Michigan State B,9,6
Wisconsin C,Illinois State B,3,8
DePaul,Toledo,15,0
