Minnesota,Bradley,1,11
Reaper Alum X,Eastern Illinois,13,2
Wisconsin- La Crosse,Illinois,6,9
Reaper Alum X,Illinois,11,6
DePaul,Bradley,9,7
Wisconsin- La Crosse,Eastern Illinois,11,2
Minnesota,Eastern Illinois,6,3
Wisconsin- La Crosse,Bradley,2,7
Reaper Alum X,Minnesota,11,2
Illinois,Bradley,4,10
DePaul,Eastern Illinois,8,3
DePaul,Wisconsin- La Crosse,6,5
Illinois,Minnesota,8,7
Bradley,Eastern Illinois,11,3
DePaul,Minnesota,7,3
Illinois,Eastern Illinois,4,0
DePaul,Illinois,4,2
Wisconsin- La Crosse,Minnesota,11,1
