LSU,Texas State,11,13
Florida,Texas State,13,10
LSU,Florida,13,10
Alabama,Wisconsin-Whitewater,13,6
Texas Tech,Wisconsin-Whitewater,13,10
Texas Tech,Alabama,8,13
Minnesota State-Mankato,Texas-San Antonio,11,3
Alabama-Birmingham,Texas A&M C,11,4
Minnesota State-Mankato,Texas A&M C,11,2
Alabama-Birmingham,Texas-San Antonio,11,5
Minnesota State-Mankato,Alabama-Birmingham,9,11
Texas-San Antonio,Texas A&M C,11,4
North Florida,Mississippi,11,7
Texas Christian,Texas State B,13,4
North Florida,Texas State B,11,4
Texas Christian,Mississippi,11,7
North Florida,Texas Christian,11,7
Mississippi,Texas State B,11,3
Georgia State,Sul Ross State,11,5
Florida State B,Sam Houston State,11,7
Georgia State,Sam Houston State,11,3
Florida State B,Sul Ross State,7,11
Georgia State,Florida State B,11,5
Sul Ross State,Sam Houston State,11,5
Mississippi State,Trinity,9,11
Texas A&M B,LSU B,11,8
Mississippi State,LSU B,11,8
Texas A&M B,Trinity,4,11
Mississippi State,Texas A&M B,11,4
Trinity,LSU B,11,1
LSU,Alabama,10,13
Florida,Texas Tech,9,13
Texas State,Wisconsin-Whitewater,13,11
Alabama-Birmingham,Georgia State,6,11
North Florida,Trinity,7,11
Minnesota State-Mankato,Sul Ross State,12,10
Texas Christian,Mississippi State,5,11
Texas-San Antonio,Florida State B,8,9
Mississippi,Texas A&M B,13,10
Texas A&M C,Sam Houston State,6,11
Texas State B,LSU B,9,11
Alabama,Mississippi,13,2
Trinity,Alabama-Birmingham,7,13
Texas State,Minnesota State-Mankato,13,7
Florida,Texas Christian,13,1
Texas Tech,Sul Ross State,15,9
Wisconsin-Whitewater,Mississippi State,4,13
Georgia State,North Florida,12,9
LSU,Florida State B,13,6
Alabama,Alabama-Birmingham,13,4
Texas State,Florida,13,12
Texas Tech,Mississippi State,13,7
Georgia State,LSU,11,10
Alabama,Texas State,12,8
Texas Tech,Georgia State,13,2
Alabama-Birmingham,Florida,1,11
Mississippi State,LSU,2,13
Mississippi,Trinity,8,13
Minnesota State-Mankato,Texas Christian,12,9
Sul Ross State,Wisconsin-Whitewater,12,14
North Florida,Florida State B,11,7
Trinity,Minnesota State-Mankato,12,10
Wisconsin-Whitewater,North Florida,13,9
Mississippi,Texas Christian,6,12
Sul Ross State,Florida State B,13,9
Sam Houston State,Texas State B,0,15
LSU B,Texas A&M C,10,3
Texas-San Antonio,Texas State B,8,13
LSU B,Texas A&M B,7,8
