New Hampshire,SUNY-Fredonia,12,7
University of Pittsburgh,Campbell,13,4
New Hampshire,Campbell,13,2
University of Pittsburgh,SUNY-Fredonia,10,5
New Hampshire,University of Pittsburgh,10,12
SUNY-Fredonia,Campbell,8,10
Ohio,Delaware,13,6
Rhode Island,North Carolina State,11,10
Ohio,North Carolina State,13,5
Rhode Island,Delaware,7,8
Ohio,Rhode Island,13,3
Delaware,North Carolina State,13,7
University of Pittsburgh,Ohio,6,10
University of Pittsburgh,Delaware,13,3
Ohio,New Hampshire,13,10
University of Pittsburgh,North Carolina State,13,1
Delaware,Campbell,13,5
Ohio,SUNY-Fredonia,13,3
New Hampshire,Rhode Island,13,4
Delaware,New Hampshire,6,13
Campbell,SUNY-Fredonia,7,10
North Carolina State,Campbell,10,12
SUNY-Fredonia,Rhode Island,10,9
North Carolina State,Rhode Island,13,4
