William & Mary,Case Western Reserve,13,7
Tennessee-Chattanooga,Drexel University,11,9
William & Mary,Drexel University,13,5
Tennessee-Chattanooga,Case Western Reserve,11,13
William & Mary,Tennessee-Chattanooga,11,9
Case Western Reserve,Drexel University,11,6
James Madison,Davidson,10,12
Williams,Liberty,13,12
James Madison,Liberty,13,5
Williams,Davidson,12,13
James Madison,Williams,10,12
Davidson,Liberty,9,13
Vermont,North Carolina,13,7
Mary Washington,Virginia Commonwealth,13,11
Vermont,Virginia Commonwealth,13,4
Mary Washington,North Carolina,13,11
Vermont,Mary Washington,13,5
North Carolina,Virginia Commonwealth,7,13
Richmond,George Mason,12,10
Lehigh,SUNY-Binghamton,9,13
Richmond,George Washington,13,6
George Mason,SUNY-Binghamton,6,13
Richmond,Lehigh,13,7
George Mason,George Washington,13,7
Richmond,SUNY-Binghamton,13,12
Lehigh,George Washington,12,11
SUNY-Binghamton,George Washington,13,4
Lehigh,George Mason,12,13
William & Mary,Liberty,13,7
Davidson,North Carolina,13,12
Vermont,Drexel University,13,4
Case Western Reserve,James Madison,13,7
Williams,Virginia Commonwealth,13,11
Mary Washington,Tennessee-Chattanooga,10,12
William & Mary,Vermont,14,15
William & Mary,Tennessee-Chattanooga,15,11
Vermont,Richmond,15,8
William & Mary,SUNY-Binghamton,15,10
Davidson,Tennessee-Chattanooga,9,15
Vermont,Case Western Reserve,14,11
Richmond,Williams,15,12
Case Western Reserve,Davidson,15,10
SUNY-Binghamton,Case Western Reserve,6,15
Davidson,Williams,15,13
SUNY-Binghamton,Williams,0,15
Tennessee-Chattanooga,Richmond,11,9
Mary Washington,James Madison,12,15
North Carolina,Mary Washington,13,15
James Madison,Drexel University,15,9
North Carolina,George Mason,15,11
Liberty,Mary Washington,9,15
Lehigh,James Madison,12,13
Drexel University,Virginia Commonwealth,15,13
Drexel University,George Washington,15,12
Virginia Commonwealth,George Mason,12,15
Virginia Commonwealth,Lehigh,15,10
George Mason,George Washington,15,12
Liberty,Lehigh,8,15
North Carolina,Drexel University,15,11
Lehigh,George Washington,14,15
George Washington,Liberty,13,8
