Worcester Polytech,Bentley,5,13
Massachusetts-Lowell,Amherst College,9,12
Worcester Polytech,Massachusetts-Lowell,5,12
Bates College,Amherst College,13,7
Amherst College,Bentley,11,10
Bates College,Massachusetts-Lowell,13,6
Worcester Polytech,Amherst College,6,9
Bates College,Bentley,13,6
Worcester Polytech,Bates College,1,13
Massachusetts-Lowell,Bentley,8,12
Worcester Polytech,Bentley,5,13
Massachusetts-Lowell,Amherst College,9,12
Worcester Polytech,Massachusetts-Lowell,5,12
Bates College,Amherst College,13,7
Amherst College,Bentley,11,10
Bates College,Massachusetts-Lowell,13,6
Worcester Polytech,Amherst College,6,9
Bates College,Bentley,13,6
Worcester Polytech,Bates College,1,13
Massachusetts-Lowell,Bentley,8,12
