SUNY-Stony Brook,Marist,9,11
SUNY-Binghamton,Cornell B,11,3
NYU,Hofstra,10,7
Rowan,Columbia,9,10
SUNY-Stony Brook,Cornell B,11,2
SUNY-Binghamton,Hofstra,11,4
NYU,Columbia,10,9
Marist,Tufts B,11,5
SUNY-Binghamton,Tufts B,11,2
NYU,Marist,8,11
Rowan,Cornell B,11,6
Columbia,Hofstra,8,7
SUNY-Binghamton,Marist,8,11
Rowan,Hofstra,9,3
SUNY-Stony Brook,Tufts B,11,2
SUNY-Stony Brook,NYU,9,7
Rowan,Tufts B,9,5
Columbia,Marist,10,9
Hofstra,Cornell B,7,4
NYU,Tufts B,7,5
Columbia,Cornell B,10,4
SUNY-Stony Brook,SUNY-Binghamton,7,10
SUNY-Stony Brook,Columbia,2,8
Hofstra,Tufts B,7,4
Cornell B,Marist,5,8
SUNY-Binghamton,Rowan,9,7
SUNY-Stony Brook,Rowan,8,5
SUNY-Binghamton,NYU,4,8
Columbia,Tufts B,11,2
Hofstra,Marist,4,8
SUNY-Stony Brook,Hofstra,11,5
SUNY-Binghamton,Columbia,4,9
NYU,Rowan,7,6
Cornell B,Tufts B,8,7
NYU,Cornell B,15,0
Rowan,Marist,2,7
