Oregon State,Idaho,15,4
Washington State,Central Washington,15,4
Oregon State,Central Washington,15,5
Washington State,Idaho,15,6
Oregon State,Washington State,15,7
Idaho,Central Washington,15,4
Whitworth,Portland State,15,6
Boise State,Western Washington University,7,11
Whitworth,Western Washington University,13,11
Boise State,Portland State,12,11
Whitworth,Boise State,12,7
Portland State,Western Washington University,8,14
Oregon State,Whitworth,15,7
Oregon State,Western Washington University,15,9
Whitworth,Washington State,12,11
Western Washington University,Washington State,9,15
Portland State,Boise State,13,15
Idaho,Portland State,12,15
Boise State,Central Washington,10,9
Idaho,Central Washington,8,15
