Tennessee,Appalachian State,9,10
Ohio State,Dartmouth,13,3
North Carolina,Ohio State,11,10
Dartmouth,Appalachian State,9,10
North Carolina,Dartmouth,13,7
Ohio State,Tennessee,13,8
North Carolina,Tennessee,13,5
Ohio State,Appalachian State,12,6
North Carolina,Appalachian State,13,2
Dartmouth,Tennessee,12,9
Penn State,Clemson,11,9
Maryland,Tulane,12,4
Massachusetts,Tulane,13,2
Maryland,Penn State,10,8
Massachusetts,Maryland,13,8
Tulane,Clemson,10,11
Massachusetts,Penn State,13,3
Maryland,Clemson,12,10
Massachusetts,Clemson,13,3
Tulane,Penn State,11,7
Notre Dame,Alabama,7,9
Carnegie Mellon,North Carolina-Charlotte,12,6
North Carolina State,North Carolina-Charlotte,13,7
Carnegie Mellon,Notre Dame,10,9
North Carolina State,Carnegie Mellon,12,8
North Carolina-Charlotte,Alabama,7,12
North Carolina State,Notre Dame,13,8
Carnegie Mellon,Alabama,6,10
North Carolina State,Alabama,11,7
North Carolina-Charlotte,Notre Dame,10,13
Virginia,Ohio,10,13
Auburn,Chicago,13,4
North Carolina-Wilmington,Chicago,12,6
Auburn,Virginia,12,6
North Carolina-Wilmington,Auburn,12,9
Chicago,Ohio,10,12
North Carolina-Wilmington,Virginia,9,7
Auburn,Ohio,10,12
North Carolina-Wilmington,Ohio,10,6
Chicago,Virginia,8,12
North Carolina,Massachusetts,15,8
North Carolina,North Carolina-Wilmington,15,10
Massachusetts,North Carolina State,17,16
North Carolina,Alabama,15,7
North Carolina-Wilmington,Maryland,15,14
Massachusetts,Ohio,15,3
North Carolina State,Ohio State,15,13
North Carolina-Wilmington,North Carolina State,11,15
Alabama,Ohio State,11,13
Alabama,Maryland,15,12
Ohio,Ohio State,8,15
Maryland,Ohio,15,12
Auburn,Virginia,15,9
Appalachian State,Auburn,5,15
Virginia,Dartmouth,15,9
Appalachian State,Notre Dame,15,14
Clemson,Auburn,6,15
Tulane,Virginia,9,15
Carnegie Mellon,Dartmouth,9,13
Appalachian State,Dartmouth,13,15
Notre Dame,Carnegie Mellon,14,10
Notre Dame,Clemson,14,8
Tulane,Carnegie Mellon,11,12
Clemson,Tulane,6,7
Tennessee,North Carolina-Charlotte,15,6
Tennessee,Penn State,15,9
North Carolina-Charlotte,Chicago,15,13
Penn State,Chicago,14,13
