Mississippi State,Miami,11,7
Georgia Southern,Columbus State,13,2
Mississippi State,Columbus State,13,0
Georgia Southern,Miami,13,4
Mississippi State,Georgia Southern,10,7
Miami,Columbus State,11,7
Florida Tech,Troy,6,10
Berry,Central Arkansas,15,0
Florida Tech,Central Arkansas,15,0
Berry,Troy,10,6
Florida Tech,Berry,11,5
Troy,Central Arkansas,15,0
Mississippi State,Georgia Southern,12,8
Mississippi State,Troy,13,12
Georgia Southern,Florida Tech,13,11
Mississippi State,Central Arkansas,15,0
Troy,Miami,15,6
Georgia Southern,Berry,15,14
Florida Tech,Columbus State,14,8
Miami,Berry,0,15
Central Arkansas,Miami,0,15
Berry,Columbus State,13,12
Troy,Florida Tech,14,15
Central Arkansas,Columbus State,0,15
