Washington,Arizona,13,8
California,Michigan State,13,4
Washington,California,13,6
Southern California,Michigan State,13,8
Michigan State,Arizona,5,13
Southern California,California,13,11
Washington,Michigan State,13,5
Washington,Southern California,12,13
California,Arizona,13,6
Southern California,Arizona,10,11
Cal Poly-SLO,California-Santa Cruz,13,6
Texas-Dallas,Western Washington University,13,10
Cal Poly-SLO,Texas-Dallas,13,6
Dartmouth,Western Washington University,8,12
Western Washington University,California-Santa Cruz,13,11
Cal Poly-SLO,Western Washington University,13,3
Dartmouth,California-Santa Cruz,13,7
Cal Poly-SLO,Dartmouth,13,8
Texas-Dallas,California-Santa Cruz,13,9
Dartmouth,Texas-Dallas,6,13
Stanford,California-San Diego,12,9
Victoria,California-Santa Barbara,13,11
Connecticut,California-Santa Barbara,7,13
California-Santa Barbara,California-San Diego,13,8
Connecticut,Victoria,11,12
Stanford,Victoria,8,13
Connecticut,California-San Diego,5,13
Stanford,Connecticut,12,9
Victoria,California-San Diego,13,8
Stanford,California-Santa Barbara,11,13
Brigham Young,British Columbia,13,10
Brigham Young,UCL,13,9
Colorado State University,Santa Clara,13,5
Santa Clara,British Columbia,6,13
Colorado State University,UCL,13,6
Brigham Young,Santa Clara,13,2
Colorado State University,British Columbia,10,13
UCL,Santa Clara,13,11
Brigham Young,Colorado State University,13,7
UCL,British Columbia,12,13
California-Santa Cruz,Connecticut,13,12
Michigan State,California-Santa Cruz,11,13
Michigan State,Connecticut,11,13
British Columbia,Cal Poly-SLO,9,13
Southern California,British Columbia,7,13
Cal Poly-SLO,Victoria,13,7
Southern California,Stanford,13,8
Cal Poly-SLO,Washington,13,11
Victoria,California,11,9
British Columbia,California-Santa Barbara,13,9
Texas-Dallas,Stanford,11,13
Washington,UCL,13,8
Colorado State University,California,13,14
California-Santa Barbara,Western Washington University,14,13
Colorado State University,Texas-Dallas,10,9
Colorado State University,UCL,12,10
Western Washington University,Texas-Dallas,10,11
Western Washington University,UCL,5,13
Southern California,Victoria,11,13
Dartmouth,California-San Diego,13,10
Arizona,Dartmouth,7,13
California-San Diego,Santa Clara,14,13
Santa Clara,Arizona,11,13
Brigham Young,California-Santa Barbara,13,10
Brigham Young,Cal Poly-SLO,13,9
California,Washington,12,10
California,California-Santa Barbara,12,8
Stanford,Washington,11,12
