SUNY-Stony Brook,Syracuse,8,7
SUNY-Albany,Massachusetts-Lowell,13,6
SUNY-Stony Brook,Massachusetts-Lowell,11,5
SUNY-Albany,Syracuse,9,5
SUNY-Stony Brook,SUNY-Albany,9,8
Syracuse,Massachusetts-Lowell,11,3
Hofstra,SUNY-Albany B,13,3
Northeastern C,SUNY-Stony Brook B,13,4
Hofstra,SUNY-Stony Brook B,13,0
Northeastern C,SUNY-Albany B,9,8
Hofstra,Northeastern C,10,9
SUNY-Albany B,SUNY-Stony Brook B,11,2
SUNY-Stony Brook,Hofstra,11,6
SUNY-Albany,Northeastern C,11,7
Syracuse,SUNY-Albany B,13,2
Massachusetts-Lowell,SUNY-Stony Brook B,12,5
Syracuse,SUNY-Albany,12,10
SUNY-Stony Brook,Syracuse,4,12
SUNY-Albany,Hofstra,13,10
SUNY-Stony Brook,SUNY-Albany B,13,1
Northeastern C,Syracuse,4,11
SUNY-Albany,SUNY-Stony Brook B,13,4
Hofstra,Massachusetts-Lowell,8,7
Northeastern C,Massachusetts-Lowell,8,9
SUNY-Albany B,Northeastern C,2,10
SUNY-Stony Brook B,Massachusetts-Lowell,1,13
SUNY-Stony Brook,Hofstra,13,1
SUNY-Albany B,SUNY-Stony Brook B,10,13
