Auburn,Alabama,9,8
Kennesaw State,Illinois State,9,11
Auburn,Illinois State,12,5
Kennesaw State,Alabama,8,10
Auburn,Kennesaw State,13,2
Illinois State,Alabama,8,13
LSU,Kentucky,10,7
Illinois,Alabama-Huntsville,13,7
LSU,Alabama-Huntsville,13,5
Illinois,Kentucky,11,5
LSU,Illinois,13,9
Alabama-Huntsville,Kentucky,11,7
Mississippi State,Vanderbilt,7,11
Mississippi State,Georgia State,9,13
Vanderbilt,Georgia State,5,13
Alabama-Birmingham,Mississippi,10,4
Alabama-Birmingham,Southern Mississippi,13,7
Mississippi,Southern Mississippi,11,9
LSU,Alabama,10,3
Illinois State,Alabama-Huntsville,13,3
LSU,Kentucky,11,4
Illinois State,Alabama,9,7
Alabama,Alabama-Huntsville,10,6
Illinois State,Kentucky,9,5
LSU,Alabama-Huntsville,13,1
Kentucky,Alabama,4,6
Kentucky,Alabama-Huntsville,13,5
Auburn,Illinois,11,4
Alabama,LSU,10,11
Georgia State,Alabama-Birmingham,10,8
Vanderbilt,Mississippi,10,5
Mississippi State,Southern Mississippi,9,3
Kennesaw State,Alabama-Birmingham,13,8
Illinois State,Mississippi,11,2
Alabama-Huntsville,Vanderbilt,9,11
Kentucky,Georgia State,11,4
Mississippi State,LSU,8,11
Southern Mississippi,Illinois State,10,9
Kentucky,Alabama-Huntsville,15,5
Alabama,Kentucky,15,12
Alabama,Alabama-Huntsville,15,0
Auburn,Alabama-Huntsville,14,11
Illinois,Illinois State,15,12
LSU,Vanderbilt,15,4
Alabama,Kennesaw State,12,14
Auburn,Illinois,10,9
LSU,Kennesaw State,15,14
Auburn,LSU,10,11
Alabama-Huntsville,Illinois State,14,12
Vanderbilt,Alabama,8,14
Alabama-Huntsville,Alabama,10,15
Illinois State,Vanderbilt,15,6
Georgia State,Illinois State,15,3
Mississippi,LSU,8,14
Alabama-Birmingham,Southern Mississippi,15,4
Kentucky,Mississippi State,14,11
Georgia State,LSU,15,10
Alabama-Birmingham,Kentucky,6,15
Georgia State,Kentucky,13,15
Illinois,Kennesaw State,9,3
LSU,Alabama-Birmingham,7,15
Illinois State,Mississippi,12,13
Southern Mississippi,Mississippi State,7,15
Mississippi,Mississippi State,5,13
Illinois State,Southern Mississippi,10,15
