Yale,Southern Connecticut State,11,6
University of Massachusetts Amherst,Sacred Heart,13,2
Stonehill,Massachusetts,8,13
Yale,University of Massachusetts Amherst,13,8
Southern Connecticut State,Stonehill,4,13
Sacred Heart,Massachusetts,4,13
Yale,Stonehill,12,6
University of Massachusetts Amherst,Massachusetts,9,10
Southern Connecticut State,Sacred Heart,11,4
Yale,Massachusetts,10,9
University of Massachusetts Amherst,Southern Connecticut State,12,8
Stonehill,Sacred Heart,13,2
Yale,Sacred Heart,13,4
University of Massachusetts Amherst,Stonehill,6,13
Southern Connecticut State,Massachusetts,6,10
