Williams,Rensselaer Polytech,13,5
Colgate,Rochester,9,11
Williams,Colgate,13,6
Amherst Regional,Rochester,13,8
Rochester,Rensselaer Polytech,8,9
Amherst Regional,Colgate,8,7
Williams,Rochester,9,7
Amherst Regional,Rensselaer Polytech,9,6
Williams,Amherst Regional,10,9
Colgate,Rensselaer Polytech,13,11
SUNY-Buffalo,Siena,13,3
Maine,SUNY-Binghamton,13,3
SUNY-Buffalo,SUNY-Binghamton,13,1
Maine,Siena,13,4
SUNY-Buffalo,Maine,8,9
Siena,SUNY-Binghamton,4,10
Ithaca,Emerson,13,8
Skidmore,SUNY-Buffalo,13,2
Ithaca,SUNY-Buffalo,13,2
Skidmore,Emerson,13,3
Emerson,SUNY-Buffalo,10,8
Ithaca,Skidmore,10,7
Maine,Ithaca,9,4
SUNY-Buffalo,Skidmore,11,12
Williams,Amherst Regional,12,10
Williams,Colgate,10,5
Maine,Amherst Regional,6,15
Skidmore,Williams,8,15
Rensselaer Polytech,Colgate,11,12
Maine,Rochester,12,9
Amherst Regional,Ithaca,15,5
Emerson,SUNY-Buffalo,0,15
Siena,Emerson,10,13
SUNY-Binghamton,SUNY-Buffalo,5,15
Siena,SUNY-Buffalo,14,6
Skidmore,Rochester,0,15
Skidmore,Rensselaer Polytech,13,12
Rochester,Ithaca,13,11
SUNY-Binghamton,Siena,0,15
Siena,SUNY-Binghamton,8,7
Colgate,Maine,0,15
