Washington,Oregon State,13,3
Western Washington,Oregon State,9,10
Oregon,Oregon State,13,3
Western Washington,Washington,6,8
Oregon,Oregon State,13,2
Oregon State,Washington,7,8
Oregon,Washington,13,1
Western Washington,Oregon State,13,1
Oregon,Western Washington,13,6
Oregon State,Oregon State,13,6
Western Washington,Washington,10,8
Victoria,British Columbia,6,13
Washington,British Columbia,12,5
Victoria,Western Washington,12,3
Washington,Washington,13,1
British Columbia,Western Washington,13,6
Washington,Western Washington,13,1
Victoria,Washington,13,1
Washington,Victoria,12,8
British Columbia,Washington,13,1
Oregon,Washington,10,13
Oregon,Victoria,9,6
Victoria,Oregon State,13,10
Washington,Victoria,8,13
Oregon State,British Columbia,13,6
Western Washington,British Columbia,12,13
Washington,Western Washington,7,13
Western Washington,British Columbia,5,13
Western Washington,Washington,13,1
Oregon State,Western Washington,7,15
Washington,Oregon State,5,8
