Johns Hopkins,Georgetown,11,8
Maryland-Baltimore County,Salisbury,11,5
Johns Hopkins,Salisbury,11,2
Georgetown,American,11,6
Johns Hopkins,Maryland-Baltimore County,11,9
Salisbury,American,11,8
Georgetown,Salisbury,11,1
Maryland-Baltimore County,American,11,4
Georgetown,Maryland-Baltimore County,11,6
Johns Hopkins,American,11,3
Maryland,George Washington,15,3
Delaware,Towson,9,15
Maryland,Towson,15,3
Delaware,George Washington,15,6
Maryland,Delaware,15,5
George Washington,Towson,10,13
Johns Hopkins,Maryland,7,12
Johns Hopkins,Towson,15,6
Maryland,Georgetown,15,8
Johns Hopkins,Georgetown,12,11
Towson,Georgetown,6,12
Towson,Maryland-Baltimore County,14,13
Delaware,Georgetown,9,15
Maryland-Baltimore County,George Washington,13,9
Delaware,Salisbury,15,5
Maryland-Baltimore County,Delaware,13,14
George Washington,Salisbury,15,10
