North Carolina,Ohio State,15,8
Georgia,Minnesota,13,9
Ohio State,Minnesota,8,10
Georgia,California,10,8
North Carolina,California,15,4
North Carolina,Georgia,15,6
Ohio State,California,14,8
North Carolina,Minnesota,15,9
Ohio State,Georgia,14,8
Minnesota,California,12,8
Brown,Iowa State,15,11
North Carolina State,Michigan,14,15
Brown,North Carolina State,15,8
Texas,Michigan,15,7
Texas,Iowa State,15,7
Brown,Texas,11,7
North Carolina State,Iowa State,15,13
Michigan,Iowa State,15,14
North Carolina State,Texas,13,14
Brown,Michigan,15,7
Oregon,Tufts,15,8
Wisconsin,Victoria,15,6
Pittsburgh,Oregon,14,12
Wisconsin,Tufts,9,8
Pittsburgh,Victoria,9,14
Tufts,Victoria,10,13
Pittsburgh,Wisconsin,15,13
Oregon,Victoria,15,10
Pittsburgh,Tufts,12,5
Oregon,Wisconsin,12,9
Colorado,Northeastern,15,11
Washington,Rutgers,15,10
Cal Poly-SLO,Rutgers,15,4
Washington,Northeastern,14,11
Cal Poly-SLO,Colorado,13,10
Cal Poly-SLO,Washington,15,10
Northeastern,Rutgers,15,7
Colorado,Rutgers,14,8
Cal Poly-SLO,Northeastern,8,14
Colorado,Washington,14,13
North Carolina,Brown,8,14
North Carolina,Cal Poly-SLO,15,10
Colorado,Brown,10,15
Wisconsin,North Carolina,8,15
Michigan,Cal Poly-SLO,10,15
Colorado,Pittsburgh,15,13
Ohio State,Brown,10,15
Texas,Wisconsin,11,13
Oregon,Michigan,12,13
Colorado,Georgia,12,10
Ohio State,Washington,14,9
Minnesota,Rutgers,15,5
Iowa State,Victoria,12,8
Northeastern,California,10,9
Tufts,North Carolina State,15,11
