Middlebury,Franciscan,11,10

Michigan Tech,Hamilton,11,9

Middlebury,Hamilton,12,10

Michigan Tech,Franciscan,15,8
Bryant University,
Middlebury,Michigan Tech,14,9
Bryant University,
FranciscanBryant University,on,12,13

Air Force,Portland,12,5

Bryant,Claremont,15,2

Air Force,Claremont,14,3

Bryant,Portland,13,4

Air Force,Bryant,11,7

Portland,Claremont,11,12

Carleton College-GoP,Missouri S&T,11,10

Colby,Berry,11,9
Bryant University,
Carleton College-GoP,Berry,15,6

Colby,Missouri S&T,8,11
Bryant University,
Carleton College-GoP,Colby,14,5

Missouri S&T,Berry,12,10
Bryant University,
Richmond,Luther,10,8

Bowdoin,Valparaiso,10,6

Richmond,Valparaiso,11,6

Bowdoin,Luther,9,11

Richmond,Bowdoin,9,11

Luther,Valparaiso,14,9

Middlebury,Air Force,15,12

Middlebury,Richmond,12,11

Carleton College-GoP,Air Force,13,15

Middlebury,Bryant,15,9

Richmond,Missouri S&T,15,11

Carleton College-GoP,Luther,15,10

Air Force,Bowdoin,15,10

Bryant,Colby,12,5

Missouri S&T,Claremont,14,6

Luther,Hamilton,14,5

Michigan Tech,Bowdoin,10,13

Bryant,Missouri S&T,8,15

Luther,Bowdoin,13,14

Colby,Claremont,11,8

Hamilton,Michigan Tech,11,13

Franciscan,Valparaiso,15,11

Colby,Franciscan,12,15

Claremont,Valparaiso,9,15

Berry,Portland,5,15

Hamilton,Berry,7,14

Michigan Tech,Portland,4,15

