Temple,West Chester,12,11
Drexel,Millersville,13,5
Temple,Millersville,12,7
Drexel,West Chester,10,11
Temple,Drexel,10,4
West Chester,Millersville,9,6
Villanova,Lehigh,11,12
Pennsylvania,Saint Joseph's,13,1
Villanova,Saint Joseph's,13,2
Pennsylvania,Lehigh,10,9
Villanova,Pennsylvania,10,8
Lehigh,Saint Joseph's,13,5
Temple,Villanova,13,11
Temple,Lehigh,15,5
Pennsylvania,Villanova,12,13
Lehigh,Drexel,15,9
West Chester,Pennsylvania,6,13
Villanova,Pennsylvania,15,0
Lehigh,Pennsylvania,10,13
Lehigh,Drexel,8,15
Drexel,West Chester,15,7
Drexel,Saint Joseph's,15,4
Millersville,West Chester,0,15
West Chester,Millersville,15,0
Saint Joseph's,Millersville,0,15
