Purdue,Kentucky,12,10
Indiana,Ball State,13,6
Notre Dame,Southern Indiana,13,3
Purdue,Indiana,13,9
Kentucky,Notre Dame,9,13
Ball State,Southern Indiana,13,5
Purdue,Notre Dame,8,13
Indiana,Southern Indiana,13,7
Kentucky,Ball State,10,9
Purdue,Southern Indiana,13,6
Indiana,Kentucky,11,13
Notre Dame,Ball State,13,7
Purdue,Ball State,11,1
Indiana,Notre Dame,7,9
Kentucky,Southern Indiana,13,2
Notre Dame,Purdue,9,7
Purdue,Indiana,10,11
Kentucky,Indiana,6,10
Kentucky,Ball State,9,8
Ball State,Southern Indiana,10,5
