Valparaiso,Rose-Hulman,13,5
Butler,Kalamazoo,13,2
Indiana Wesleyan,Kettering,13,1
Valparaiso,Butler,13,12
Rose-Hulman,Indiana Wesleyan,11,13
Kalamazoo,Kettering,13,9
Valparaiso,Indiana Wesleyan,12,7
Butler,Kettering,13,6
Rose-Hulman,Kalamazoo,12,9
Valparaiso,Kettering,13,1
Butler,Rose-Hulman,13,5
Indiana Wesleyan,Kalamazoo,11,9
Valparaiso,Kalamazoo,13,1
Butler,Indiana Wesleyan,13,7
Rose-Hulman,Kettering,13,4
Valparaiso,Butler,6,13
Valparaiso,Rose-Hulman,13,3
Butler,Indiana Wesleyan,13,0
Rose-Hulman,Kalamazoo,8,5
Indiana Wesleyan,Kettering,12,4
Rose-Hulman,Indiana Wesleyan,11,9
Kalamazoo,Kettering,3,7
