Georgia College,Stetson,13,7
North Georgia,Dalton State,13,2
Georgia College,Dalton State,13,5
North Georgia,Stetson,13,2
Georgia College,North Georgia,13,7
Stetson,Dalton State,13,4
Berry,Embry-Riddle,12,14
Florida Tech,Ave Maria,13,7
Berry,Ave Maria,11,13
Florida Tech,Embry-Riddle,12,7
Berry,Florida Tech,11,9
Embry-Riddle,Ave Maria,13,11
Embry-Riddle,North Georgia,7,10
Berry,Embry-Riddle,11,12
North Georgia,Florida Tech,14,12
Georgia College,Berry,11,12
Embry-Riddle,Stetson,13,9
North Georgia,Ave Maria,15,14
Florida Tech,Dalton State,15,1
Florida Tech,Berry,7,9
Stetson,Florida Tech,6,11
Ave Maria,Berry,0,15
Georgia College,Stetson,4,15
Ave Maria,Dalton State,15,3
Stetson,Ave Maria,15,0
Georgia College,Dalton State,15,0
