Illinois,Loyola-Chicago,13,2
Illinois State,Illinois-Chicago,12,6
Illinois,Illinois-Chicago,13,1
Illinois State,Loyola-Chicago,11,6
Illinois,Illinois State,13,7
Loyola-Chicago,Illinois-Chicago,12,4
Northwestern,DePaul,13,2
Chicago,Northern Illinois,11,6
Northwestern,Northern Illinois,13,1
Chicago,DePaul,13,3
Northwestern,Chicago,8,10
DePaul,Northern Illinois,9,6
Illinois,Northwestern,8,11
Illinois State,Chicago,7,4
Illinois,Northern Illinois,15,5
Northwestern,Loyola-Chicago,15,5
Illinois State,DePaul,14,11
Chicago,Illinois-Chicago,15,7
Loyola-Chicago,Chicago,10,14
DePaul,Illinois,6,13
Northern Illinois,Loyola-Chicago,7,8
DePaul,Illinois-Chicago,8,6
Loyola-Chicago,DePaul,13,9
