Wisconsin,Wisconsin-Eau Claire,15,4
Wisconsin-Milwaukee,Wisconsin-Oshkosh,13,5
Wisconsin,Wisconsin-Oshkosh,15,2
Wisconsin-Milwaukee,Wisconsin-Eau Claire,12,5
Wisconsin,Wisconsin-Milwaukee,15,7
Wisconsin-Eau Claire,Wisconsin-Oshkosh,15,6
Marquette,Northern Michigan,13,2
Wisconsin- La Crosse,Wisconsin-Stevens Point,11,7
Marquette,Wisconsin- La Crosse,13,2
Wisconsin-Whitewater,Wisconsin-Stevens Point,13,6
Wisconsin-Stevens Point,Northern Michigan,9,10
Wisconsin-Whitewater,Wisconsin- La Crosse,12,8
Marquette,Wisconsin-Stevens Point,13,1
Wisconsin-Whitewater,Northern Michigan,13,6
Marquette,Wisconsin-Whitewater,8,13
Wisconsin- La Crosse,Northern Michigan,13,5
Wisconsin,Wisconsin-Whitewater,15,5
Wisconsin-Whitewater,Wisconsin-Milwaukee,12,15
Wisconsin-Milwaukee,Marquette,14,10
Marquette,Wisconsin-Eau Claire,15,9
Wisconsin-Eau Claire,Wisconsin- La Crosse,14,10
Wisconsin-Eau Claire,Northern Michigan,13,12
Wisconsin-Oshkosh,Wisconsin- La Crosse,12,13
Northern Michigan,Wisconsin-Oshkosh,11,9
