Tufts,Massachusetts-Lowell,13,2
Harvard,Massachusetts- Dartmouth,13,4
Tufts,Massachusetts- Dartmouth,13,0
Harvard,Massachusetts-Lowell,13,5
Tufts,Harvard,12,13
Massachusetts-Lowell,Massachusetts- Dartmouth,8,13
Northeastern,Boston University,13,6
Northeastern,Boston College,11,8
MIT,Boston University,13,10
Northeastern,MIT,13,7
Boston College,Boston University,13,7
MIT,Boston College,8,13
Harvard,Northeastern,10,15
Harvard,Boston College,13,11
Tufts,Northeastern,13,15
Harvard,Boston University,12,11
Boston College,Massachusetts- Dartmouth,15,6
MIT,Tufts,6,15
Massachusetts-Lowell,Northeastern,6,15
Tufts,Harvard,11,12
Tufts,Boston College,15,8
Boston University,Tufts,8,15
MIT,Boston College,8,11
Boston University,Massachusetts- Dartmouth,15,4
MIT,Massachusetts-Lowell,15,5
Boston University,MIT,10,11
Massachusetts- Dartmouth,Massachusetts-Lowell,4,15
