Carleton College-CUT,Wisconsin-Milwaukee,13,5
Minnesota,Minnesota-Duluth,13,8
Marquette,Northern Iowa,13,7
Carleton College-CUT,Minnesota,13,9
Wisconsin-Milwaukee,Marquette,13,7
Minnesota-Duluth,Northern Iowa,13,10
Carleton College-CUT,Marquette,13,5
Minnesota,Northern Iowa,13,2
Wisconsin-Milwaukee,Minnesota-Duluth,12,9
Carleton College-CUT,Northern Iowa,13,3
Minnesota,Wisconsin-Milwaukee,13,5
Marquette,Minnesota-Duluth,13,10
Minnesota,Marquette,13,4
Wisconsin-Milwaukee,Northern Iowa,12,8
Carleton College-CUT,Minnesota-Duluth,13,5
Wisconsin,Iowa,13,6
Iowa State,Minnesota,13,8
Wisconsin-Whitewater,Minnesota State-Mankato,14,13
Wisconsin,Iowa State,13,8
Iowa,Wisconsin-Whitewater,13,7
Minnesota,Minnesota State-Mankato,11,13
Wisconsin,Wisconsin-Whitewater,13,8
Iowa State,Minnesota State-Mankato,13,4
Iowa,Minnesota,13,7
Wisconsin,Minnesota State-Mankato,13,4
Iowa State,Iowa,13,9
Wisconsin-Whitewater,Minnesota,13,12
Wisconsin,Minnesota,13,8
Iowa State,Wisconsin-Whitewater,13,5
Iowa,Minnesota State-Mankato,13,9
Iowa State,Minnesota,13,15
Carleton College-CUT,Iowa State,12,14
Minnesota,Wisconsin,15,12
Carleton College-CUT,Wisconsin,11,13
Carleton College-CUT,Wisconsin-Milwaukee,15,10
Iowa,Wisconsin,8,15
Wisconsin-Milwaukee,Wisconsin-Whitewater,12,8
Marquette,Iowa,13,15
Wisconsin-Whitewater,Marquette,1,0
Marquette,Minnesota-Duluth,14,15
Minnesota-Duluth,Minnesota State-Mankato,12,11
Minnesota-Duluth,Minnesota,14,9
Northern Iowa,Minnesota State-Mankato,10,15
Minnesota,Minnesota State-Mankato,9,2
Minnesota,Northern Iowa,14,3
