Washington,British Columbia,11,9
Victoria,Utah,9,8
Montana,Idaho,13,4
Washington,Victoria,13,8
British Columbia,Montana,9,11
Utah,Idaho,13,2
Washington,Montana,13,2
Victoria,Idaho,13,5
British Columbia,Utah,9,10
Washington,Idaho,13,6
Victoria,British Columbia,13,8
Montana,Utah,5,13
Victoria,Montana,13,9
British Columbia,Idaho,13,4
Washington,Utah,13,9
Oregon,Oregon State,13,6
Whitman,Montana State,9,8
Utah State,Boise State,13,6
Oregon,Whitman,13,6
Oregon State,Utah State,13,11
Montana State,Boise State,13,3
Oregon,Utah State,13,9
Whitman,Boise State,13,3
Oregon State,Montana State,9,10
Oregon,Boise State,13,1
Whitman,Oregon State,8,13
Utah State,Montana State,6,13
Oregon,Montana State,13,9
Whitman,Utah State,13,9
Oregon State,Boise State,13,4
Washington,Oregon,13,14
Washington,Oregon State,14,10
Victoria,Oregon,5,15
Utah,Victoria,7,14
Oregon State,Utah,11,14
Montana,Victoria,8,14
Utah,Whitman,12,11
Montana,Montana State,12,10
British Columbia,Utah State,15,8
British Columbia,Boise State,15,0
Idaho,Utah State,12,15
Idaho,Utah State,15,0
Boise State,Idaho,14,15
