Minnesota State-Mankato,North Dakota State,13,10
Minnesota,Minnesota-Duluth,13,3
Carleton College-CUT,Minnesota-Duluth,13,5
Minnesota,Minnesota State-Mankato,13,2
Carleton College-CUT,North Dakota State,13,0
Minnesota-Duluth,Minnesota State-Mankato,14,12
Carleton College-CUT,Minnesota State-Mankato,13,4
Minnesota,North Dakota State,13,1
Carleton College-CUT,Minnesota,12,10
Minnesota-Duluth,North Dakota State,13,4
Minnesota,Minnesota-Duluth,15,5
Minnesota,North Dakota State,15,3
Minnesota State-Mankato,Minnesota-Duluth,8,12
North Dakota State,Minnesota State-Mankato,11,15
