St Olaf,St John's,15,11
Macalester,Carleton Hot Karls,15,8
St Olaf,Carleton Hot Karls,15,10
Macalester,St John's,13,12
St Olaf,Macalester,15,10
St John's,Carleton Hot Karls,11,10
Carleton College-GoP,Bethel,15,2
Winona State,St. Thomas,12,15
Carleton College-GoP,St. Thomas,15,4
Winona State,Bethel,1,0
Carleton College-GoP,Winona State,15,4
Bethel,St. Thomas,10,15
St Olaf,Carleton College-GoP,4,15
St Olaf,St. Thomas,15,12
Winona State,Carleton College-GoP,3,15
St. Thomas,St John's,15,8
Macalester,Winona State,10,13
Winona State,Macalester,14,15
St John's,Winona State,6,15
Macalester,St. Thomas,15,12
Bethel,St John's,12,14
Macalester,Carleton Hot Karls,15,10
St John's,St. Thomas,15,13
Bethel,Carleton Hot Karls,10,15
