Colorado,Colorado Mesa,13,4
Denver,Colorado State,11,9
Colorado,Colorado State,13,0
Denver,Colorado Mesa,12,7
Colorado,Denver,13,4
Colorado Mesa,Colorado State,13,12
Colorado,Colorado-Colorado Springs,13,5
Colorado-Denver,Colorado-Colorado Springs,13,8
Colorado State,Colorado,13,8
Colorado-Denver,Colorado,2,13
Colorado State,Colorado-Colorado Springs,13,2
Colorado State,Colorado-Denver,13,3
Colorado,Colorado State,10,7
Colorado,Colorado,13,6
Denver,Colorado State,5,13
Colorado,Colorado Mesa,13,4
Denver,Colorado-Denver,11,9
Denver,Colorado,12,13
Colorado-Colorado Springs,Denver,7,11
Colorado State,Colorado,4,13
Colorado-Colorado Springs,Colorado Mesa,11,7
Colorado-Denver,Colorado State,11,12
Colorado Mesa,Colorado State,11,10
Colorado-Colorado Springs,Colorado State,10,6
