Air Force,Colorado School of Mines,13,2

Colorado College,Air Force,13,3

Air Force,Colorado College,13,6

Colorado School of Mines,Air Force,13,1

Air Force,Colorado School of Mines,3,10

Colorado School of Mines,Colorado College,11,9

Air Force,Air Force,13,0

Colorado School of Mines,Colorado School of Mines,13,5

Air Force,Colorado School of Mines,13,7

Colorado College,Colorado School of Mines,13,1

Air Force,Colorado School of Mines,13,5

Colorado School of Mines,Colorado College,9,7

Air Force,Colorado College,2,13

Colorado School of Mines,Air Force,10,11

