California-Irvine,Cal State-Long Beach,13,8
California-Santa Barbara,Cal Poly-Pomona,13,3
Cal Poly-SLO,Cal Poly-Pomona,13,7
California-Santa Barbara,California-Irvine,13,7
Cal Poly-SLO,Cal State-Long Beach,13,0
Cal Poly-Pomona,California-Irvine,12,8
Cal Poly-SLO,California-Irvine,7,0
California-Santa Barbara,Cal State-Long Beach,13,1
Cal Poly-SLO,California-Santa Barbara,13,6
Cal Poly-Pomona,Cal State-Long Beach,12,11
San Diego State,Loyola Marymount,10,6
UCLA,California-San Diego,13,7
Southern California,California-San Diego,13,3
UCLA,San Diego State,13,2
Southern California,Loyola Marymount,13,1
California-San Diego,San Diego State,12,5
Southern California,San Diego State,13,2
UCLA,Loyola Marymount,13,2
Southern California,UCLA,13,7
California-San Diego,Loyola Marymount,13,1
Cal Poly-SLO,Southern California,13,7
Southern California,California-San Diego,13,6
California-San Diego,UCLA,11,7
California-Santa Barbara,California-San Diego,7,12
Cal Poly-Pomona,UCLA,6,13
California-Santa Barbara,Cal Poly-Pomona,13,8
California-Santa Barbara,California-Irvine,13,3
San Diego State,Cal Poly-Pomona,9,10
California-Irvine,Loyola Marymount,13,6
Cal State-Long Beach,San Diego State,10,12
