Texas,Texas State,11,2
Texas State,Texas A&M,11,3
Sam Houston State,Texas-Rio Grande Valley,6,8
Texas,Texas State,7,8
Texas State,Sam Houston State,6,7
Texas A&M,Texas-Rio Grande Valley,5,7
Texas,Sam Houston State,11,1
Texas State,Texas-Rio Grande Valley,8,4
Texas State,Texas A&M,8,7
Texas,Texas-Rio Grande Valley,11,1
Texas State,Texas State,11,2
Sam Houston State,Texas A&M,4,11
Texas,Texas A&M,11,3
Texas State,Texas-Rio Grande Valley,6,11
Texas State,Sam Houston State,11,3
Texas A&M,Texas,11,0
Texas-San Antonio,Lamar,7,9
Houston,Texas-El Paso,6,5
Texas A&M,Texas-San Antonio,11,1
Texas,Houston,4,2
Lamar,Texas-El Paso,7,2
Texas A&M,Houston,11,0
Texas-San Antonio,Texas-El Paso,9,5
Texas,Lamar,3,9
Texas A&M,Texas-El Paso,11,2
Texas-San Antonio,Texas,8,6
Houston,Lamar,0,11
Texas,Texas-El Paso,10,6
Texas-San Antonio,Houston,8,5
Texas A&M,Lamar,11,2
Texas State,Texas-El Paso,9,4
Sam Houston State,Houston,8,3
Texas State,Sam Houston State,11,3
Texas-El Paso,Houston,4,11
Houston,Sam Houston State,11,9
Texas State,Lamar,11,3
Texas,Texas A&M,11,8
Texas State,Texas,8,11
Texas-Rio Grande Valley,Texas,7,6
Texas A&M,Texas-San Antonio,9,11
Lamar,Texas-Rio Grande Valley,11,1
Texas-San Antonio,Texas A&M,9,11
Lamar,Texas A&M,0,11
Texas-Rio Grande Valley,Texas-San Antonio,7,9
Texas,Texas A&M,10,9
