Georgia,Tennessee,13,5
Georgia,Tennessee-Chattanooga,13,6
Georgia State,Tennessee-Chattanooga,11,13
Georgia,Georgia State,13,4
Tennessee,Tennessee-Chattanooga,13,6
Tennessee,Georgia State,8,11
Georgia Southern,Tennessee Tech,13,6
Kennesaw State,Emory,12,9
Georgia Tech,Tennessee Tech,13,5
Kennesaw State,Georgia Southern,11,8
Georgia Tech,Georgia Southern,11,12
Emory,Tennessee Tech,13,3
Kennesaw State,Georgia Tech,9,10
Emory,Georgia Southern,13,1
Kennesaw State,Tennessee Tech,15,0
Emory,Georgia Tech,8,9
Georgia,Kennesaw State,14,6
Tennessee,Georgia Tech,12,6
Georgia,Tennessee,15,2
Kennesaw State,Georgia Tech,12,11
Kennesaw State,Tennessee,3,15
Georgia State,Emory,2,15
Tennessee-Chattanooga,Tennessee Tech,15,0
Tennessee-Chattanooga,Georgia Southern,12,9
Tennessee-Chattanooga,Georgia State,12,11
