Cal Poly-SLO,California-Santa Cruz,11,7
California-Davis,Las Positas,13,12
Cal Poly-SLO,Las Positas,13,4
California-Davis,California-Santa Cruz,4,11
Cal Poly-SLO,California-Davis,13,4
California-Santa Cruz,Las Positas,8,9
Southern California,Stanford,9,13
Arizona,Humboldt State,13,9
Southern California,Humboldt State,13,9
Arizona,Stanford,12,14
Southern California,Arizona,12,4
Stanford,Humboldt State,13,6
California,New Mexico,12,11
California-Santa Barbara,Chico State,13,10
California,Chico State,13,7
California-Santa Barbara,New Mexico,13,7
California,California-Santa Barbara,13,6
New Mexico,Chico State,11,12
California-San Diego,Northern Arizona,13,5
UCLA,Santa Clara,13,4
California-San Diego,Santa Clara,13,4
UCLA,Northern Arizona,13,10
California-San Diego,UCLA,9,12
Northern Arizona,Santa Clara,7,10
Cal Poly-SLO,California,15,8
Cal Poly-SLO,UCLA,15,12
California,Stanford,15,11
California,Southern California,14,13
Southern California,Stanford,15,13
UCLA,Southern California,12,15
California-San Diego,Stanford,11,15
California-Santa Barbara,Southern California,8,15
Arizona,California-San Diego,6,15
California-Santa Barbara,Santa Clara,15,9
Las Positas,Southern California,7,15
California-Santa Cruz,Arizona,10,11
Chico State,California-San Diego,11,15
California-Santa Barbara,Arizona,15,7
Santa Clara,Chico State,15,0
Santa Clara,Las Positas,15,0
California-Santa Cruz,Chico State,11,15
Las Positas,California-Santa Cruz,0,15
California-Davis,Northern Arizona,11,12
New Mexico,Humboldt State,15,9
California-Davis,Humboldt State,13,6
