Rice,Sul Ross State,12,11
Trinity,Dallas Baptist,10,8
Abilene Christian,Dallas,11,10
Rice,Trinity,13,6
Sul Ross State,Abilene Christian,13,6
Dallas Baptist,Dallas,11,10
Rice,Abilene Christian,13,7
Trinity,Dallas,13,6
Sul Ross State,Dallas Baptist,13,4
Rice,Dallas,8,7
Trinity,Sul Ross State,8,11
Abilene Christian,Dallas Baptist,8,7
Rice,Dallas Baptist,10,3
Trinity,Abilene Christian,9,8
Sul Ross State,Dallas,12,4
Rice,Sul Ross State,13,12
Trinity,Sul Ross State,13,8
Trinity,Abilene Christian,9,8
