Edinboro,Slippery Rock,8,15
Carnegie Mellon,Indiana,15,3
Penn State,West Virginia,15,4
Pittsburgh,West Virginia,15,1
Carnegie Mellon,Slippery Rock,15,4
Penn State,Indiana,15,3
Pittsburgh,Carnegie Mellon,13,9
Edinboro,Indiana,15,4
Penn State,Slippery Rock,11,5
Pittsburgh,Edinboro,15,0
Carnegie Mellon,Penn State,10,11
West Virginia,Slippery Rock,10,6
Pittsburgh,Indiana,15,2
West Virginia,Edinboro,6,14
Slippery Rock,Indiana,14,6
Pittsburgh,Penn State,13,10
Carnegie Mellon,Edinboro,15,4
West Virginia,Indiana,13,7
Pittsburgh,Slippery Rock,15,1
Carnegie Mellon,West Virginia,15,4
Penn State,Edinboro,15,3
Pittsburgh,Penn State,15,6
Carnegie Mellon,Edinboro,12,2
Carnegie Mellon,West Virginia,7,0
Slippery Rock,Edinboro,10,14
