Iowa State,Nebraska,13,5
Iowa,Creighton,13,2
Northern Iowa,Nebraska-Omaha,13,9
Iowa State,Iowa,13,6
Nebraska,Northern Iowa,12,9
Creighton,Nebraska-Omaha,7,13
Iowa State,Northern Iowa,13,1
Iowa,Nebraska-Omaha,13,3
Nebraska,Creighton,13,2
Iowa State,Nebraska-Omaha,13,6
Iowa,Nebraska,13,6
Northern Iowa,Creighton,13,3
Iowa State,Creighton,13,0
Iowa,Northern Iowa,13,5
Nebraska,Nebraska-Omaha,11,6
Iowa State,Iowa,13,10
Iowa State,Northern Iowa,13,2
Iowa,Nebraska,13,4
Northern Iowa,Nebraska-Omaha,13,8
Nebraska,Creighton,11,3
Northern Iowa,Nebraska,13,10
Nebraska-Omaha,Creighton,13,6
