SUNY-Geneseo,SUNY-Cortland,13,5
Colgate,Ithaca,12,8
SUNY-Geneseo,Ithaca,9,10
Colgate,SUNY-Cortland,13,6
SUNY-Geneseo,Colgate,4,11
SUNY-Cortland,Ithaca,3,13
Rochester,St Lawrence University,13,6
SUNY-Oneonta,SUNY-Fredonia,10,11
SUNY-Oneonta,Rochester,10,7
Hamilton,St Lawrence University,13,6
SUNY-Oneonta,St Lawrence University,13,4
Hamilton,SUNY-Fredonia,13,6
Rochester,Hamilton,7,10
SUNY-Fredonia,St Lawrence University,13,5
Rochester,SUNY-Fredonia,11,7
SUNY-Oneonta,Hamilton,8,10
Rochester,SUNY-Cortland,11,7
SUNY-Geneseo,SUNY-Fredonia,12,11
Rochester,SUNY-Geneseo,10,11
SUNY-Cortland,St Lawrence University,14,13
SUNY-Geneseo,St Lawrence University,15,3
SUNY-Cortland,SUNY-Fredonia,9,10
Colgate,Hamilton,12,15
Colgate,SUNY-Oneonta,15,8
Ithaca,Hamilton,10,14
Ithaca,Colgate,12,8
SUNY-Oneonta,Ithaca,7,13
