North Carolina,Duke,13,7
Johns Hopkins,East Carolina,13,8
North Carolina,East Carolina,13,5
Johns Hopkins,Duke,9,11
North Carolina,Johns Hopkins,13,5
Duke,East Carolina,10,6
North Carolina State,Virginia,11,13
Maryland,Appalachian State,12,11
North Carolina State,Appalachian State,13,7
Maryland,Virginia,11,10
North Carolina State,Maryland,13,8
Virginia,Appalachian State,12,6
North Carolina-Wilmington,Liberty,13,5
William & Mary,James Madison,11,12
North Carolina-Wilmington,James Madison,13,4
William & Mary,Liberty,10,6
North Carolina-Wilmington,William & Mary,8,10
Liberty,James Madison,10,13
South Carolina,Georgetown,13,6
Virginia Tech,North Carolina B,13,8
South Carolina,North Carolina B,12,9
Virginia Tech,Georgetown,13,7
South Carolina,Virginia Tech,8,12
Georgetown,North Carolina B,12,7
North Carolina,North Carolina State,15,2
North Carolina,Virginia Tech,15,7
North Carolina-Wilmington,North Carolina State,8,15
North Carolina State,Maryland,14,9
Johns Hopkins,Maryland,8,13
Virginia Tech,Johns Hopkins,12,14
Maryland,North Carolina-Wilmington,13,12
William & Mary,Johns Hopkins,11,12
Maryland,South Carolina,15,13
William & Mary,Georgetown,12,10
Johns Hopkins,Virginia,15,8
Duke,Maryland,11,14
James Madison,South Carolina,6,15
William & Mary,South Carolina,6,11
Virginia,James Madison,13,4
Georgetown,Virginia,12,14
Duke,James Madison,11,13
Georgetown,Duke,1,0
North Carolina B,Appalachian State,13,11
East Carolina,North Carolina B,13,15
Liberty,Appalachian State,11,13
East Carolina,Liberty,9,13
Mary Washington,Navy,14,15
Davidson,High Point,15,5
Mary Washington,High Point,12,6
Davidson,Navy,15,6
Navy,High Point,9,12
Mary Washington,Davidson,11,10
North Carolina-Asheville,Christopher Newport,13,11
Richmond,Elon,15,8
Richmond,Christopher Newport,15,6
North Carolina-Asheville,Elon,10,8
Richmond,North Carolina-Asheville,15,9
Elon,Christopher Newport,15,8
North Carolina-Asheville,Richmond,6,15
Mary Washington,North Carolina-Asheville,12,13
Davidson,Richmond,5,15
Mary Washington,Christopher Newport,15,7
North Carolina-Asheville,High Point,13,11
Davidson,Elon,12,10
Richmond,Navy,15,7
Christopher Newport,High Point,10,12
Elon,Navy,13,15
Mary Washington,Davidson,5,7
Delaware B,South Carolina B,12,7
Virginia Tech B,American B,15,2
Delaware B,American B,13,5
Virginia Tech B,South Carolina B,13,11
Delaware B,Virginia Tech B,8,10
South Carolina B,American B,15,1
Maryland B,George Washington B,13,5
Virginia B,James Madison B,9,12
Maryland B,James Madison B,11,7
Virginia B,George Washington B,15,9
Maryland B,Virginia B,11,8
George Washington B,James Madison B,4,15
South Carolina B,Maryland B,13,10
Virginia Tech B,South Carolina B,10,12
Virginia B,Maryland B,7,10
Virginia Tech B,George Washington B,15,3
James Madison B,South Carolina B,6,15
Delaware B,Virginia B,11,13
Maryland B,American B,15,4
James Madison B,Delaware B,9,13
George Washington B,James Madison B,5,15
Delaware B,American B,15,5
Virginia Tech B,Virginia B,13,9
Illinois State,Chicago,8,9
Michigan,Chicago,12,4
Michigan,Illinois State,11,10
Grand Valley State,Kentucky,12,10
Notre Dame,Kentucky,15,1
Notre Dame,Grand Valley State,10,12
Purdue,Michigan B,10,11
Northwestern,Michigan B,15,1
Northwestern,Purdue,6,11
Indiana,Loyola-Chicago,15,4
Illinois,Loyola-Chicago,15,6
Illinois,Indiana,9,6
Michigan,Indiana,13,4
Michigan,Illinois,11,9
Indiana,Chicago,13,10
Michigan,Notre Dame,11,7
Illinois,Purdue,10,8
Northwestern,Indiana,7,10
Grand Valley State,Chicago,7,11
Notre Dame,Michigan B,13,6
Purdue,Kentucky,11,10
Indiana,Illinois State,13,7
Chicago,Loyola-Chicago,13,5
Illinois,Chicago,11,1
Purdue,Northwestern,8,9
Notre Dame,Purdue,6,10
Northwestern,Grand Valley State,13,12
Notre Dame,Grand Valley State,5,11
Michigan B,Illinois State,9,10
Michigan B,Kentucky,14,5
Illinois State,Loyola-Chicago,12,6
Kentucky,Loyola-Chicago,11,7
Knox,North Park,11,5
Valparaiso,Eastern Illinois,12,0
Knox,Eastern Illinois,13,5
Valparaiso,North Park,15,4
Knox,Valparaiso,8,10
North Park,Eastern Illinois,15,3
Butler,Wheaton Illinois,15,5
Olivet Nazarene,Rose-Hulman,14,7
Butler,Rose-Hulman,15,5
Olivet Nazarene,Wheaton Illinois,12,3
Butler,Olivet Nazarene,7,14
Wheaton Illinois,Rose-Hulman,12,8
Valparaiso,Olivet Nazarene,13,4
Valparaiso,Butler,13,10
Knox,Olivet Nazarene,6,11
Valparaiso,Rose-Hulman,15,1
Butler,North Park,12,11
Knox,Wheaton Illinois,10,6
Olivet Nazarene,Eastern Illinois,15,3
Rose-Hulman,Wheaton Illinois,4,9
Rose-Hulman,North Park,10,8
Wheaton Illinois,Eastern Illinois,13,7
Butler,Knox,5,7
Syracuse,SUNY-Buffalo,12,10
Rutgers,SUNY-Buffalo,13,6
Rutgers,Syracuse,13,5
SUNY-Binghamton,SUNY-Albany,11,9
Connecticut,SUNY-Albany,13,8
Connecticut,SUNY-Binghamton,13,5
RIT,SUNY-Stony Brook,10,12
Cornell,SUNY-Stony Brook,13,8
Cornell,RIT,10,13
Princeton,NYU,11,12
Yale,NYU,12,9
Yale,Princeton,12,9
Rutgers,Connecticut,15,14
Rutgers,Yale,15,8
Cornell,Connecticut,11,12
SUNY-Stony Brook,Rutgers,6,15
Yale,RIT,15,12
NYU,Cornell,8,15
Connecticut,Syracuse,15,9
SUNY-Binghamton,SUNY-Stony Brook,11,15
RIT,SUNY-Albany,15,9
NYU,SUNY-Buffalo,14,12
Syracuse,Princeton,14,13
SUNY-Geneseo,SUNY-Fredonia,11,7
Marist,SUNY-Fredonia,15,2
Marist,SUNY-Geneseo,15,6
SUNY-Oneonta,Stevens Tech,9,11
Hamilton,Stevens Tech,13,8
Hamilton,SUNY-Oneonta,12,6
Colgate,Rensselaer Polytech,11,7
Wesleyan,Rensselaer Polytech,15,5
Wesleyan,Colgate,6,9
Ithaca,Rochester,12,10
Army,Rochester,12,4
Army,Ithaca,12,6
Marist,Hamilton,14,15
Marist,Wesleyan,16,15
Colgate,Hamilton,12,15
Marist,Stevens Tech,15,10
Wesleyan,Army,15,12
Colgate,Ithaca,13,8
Rochester,Hamilton,6,14
Stevens Tech,Rensselaer Polytech,10,9
Wesleyan,SUNY-Oneonta,15,1
SUNY-Fredonia,Ithaca,4,13
Rochester,SUNY-Geneseo,11,8
Stevens Tech,Rochester,13,9
Stevens Tech,Army,1,0
Ithaca,Rochester,9,10
Rensselaer Polytech,SUNY-Geneseo,9,6
Rensselaer Polytech,SUNY-Oneonta,9,8
SUNY-Fredonia,SUNY-Geneseo,7,11
SUNY-Oneonta,SUNY-Fredonia,3,5
Brown,Vermont,13,7
Northeastern,MIT,13,4
Boston College,Massachusetts C,13,10
Brown,Northeastern,13,6
Vermont,Boston College,12,11
MIT,Massachusetts C,13,9
Brown,Boston College,13,2
Northeastern,Massachusetts C,13,3
Vermont,MIT,11,9
Brown,Massachusetts C,13,4
Northeastern,Vermont,13,10
Boston College,MIT,10,12
Northeastern,Boston College,13,4
Vermont,Massachusetts C,13,5
Brown,MIT,13,6
Massachusetts,Tufts,10,9
Harvard,New Hampshire,13,11
Dartmouth,Tufts B,13,4
Massachusetts,Harvard,13,5
Tufts,Dartmouth,13,7
New Hampshire,Tufts B,13,11
Massachusetts,Dartmouth,13,5
Harvard,Tufts B,13,4
Tufts,New Hampshire,13,1
Massachusetts,Tufts B,13,4
Harvard,Tufts,5,13
Dartmouth,New Hampshire,13,1
Massachusetts,New Hampshire,13,10
Harvard,Dartmouth,11,13
Tufts,Tufts B,13,5
Brown,Northeastern,15,9
Brown,Tufts,15,7
Northeastern,Massachusetts,14,13
Tufts,Massachusetts,12,10
Tufts,Vermont,15,6
Dartmouth,Massachusetts,12,15
Vermont,Harvard,15,12
MIT,Dartmouth,10,15
Harvard,MIT,0,15
MIT,Massachusetts C,0,15
Boston College,Massachusetts C,0,15
Boston College,Tufts B,15,7
Massachusetts C,New Hampshire,15,11
Middlebury,Bentley,15,6
Bowdoin,Williams,15,6
Middlebury,Williams,14,11
Bowdoin,Bentley,15,8
Middlebury,Bowdoin,12,10
Bentley,Williams,3,15
Bryant University,Brandeis,11,7
Colby,Bates College,9,10
Bryant University,Bates College,15,7
Colby,Brandeis,15,8
Bryant University,Colby,6,10
Brandeis,Bates College,4,15
Middlebury,Bryant University,15,2
Bryant University,Bowdoin,5,15
Bowdoin,Colby,15,8
Colby,Williams,15,8
Williams,Bates College,15,11
Williams,Brandeis,15,10
Bentley,Bates College,9,10
Brandeis,Bentley,15,8
Massachusetts Amherst B,Northeastern C,10,11
Dartmouth B,Brown B,10,7
Massachusetts Amherst B,Brown B,11,8
Dartmouth B,Northeastern C,9,8
Massachusetts Amherst B,Dartmouth B,11,8
Northeastern C,Brown B,12,9
Massachusetts Amherst B,Northeastern C,12,10
Brown B,Dartmouth B,13,7
Michigan Tech,St Olaf,12,9
Winona State,St John's,11,10
St Olaf,St. Thomas,13,10
Michigan Tech,St John's,13,7
Michigan Tech,Winona State,13,7
St John's,St. Thomas,10,13
Winona State,St. Thomas,13,11
St Olaf,St John's,13,2
Michigan Tech,St. Thomas,13,7
St Olaf,Winona State,11,13
Macalester,Wisconsin-Platteville,13,8
Carleton College-GoP,Luther,11,4
Carleton College-GoP,Wisconsin-Platteville,12,8
Luther,Carleton Hot Karls,13,4
Wisconsin-Platteville,Carleton Hot Karls,13,8
Carleton College-GoP,Macalester,13,7
Macalester,Carleton Hot Karls,13,6
Luther,Wisconsin-Platteville,13,5
Luther,Macalester,13,10
Carleton College-GoP,Carleton Hot Karls,13,1
Michigan Tech,Carleton College-GoP,7,13
Michigan Tech,Luther,14,10
Winona State,Carleton College-GoP,7,15
Luther,Macalester,15,7
Luther,St Olaf,13,7
Macalester,Winona State,13,11
St Olaf,Wisconsin-Platteville,15,13
St. Thomas,Macalester,11,15
Wisconsin-Platteville,St. Thomas,15,14
St Olaf,Winona State,7,6
St John's,Carleton Hot Karls,10,11
Washington,British Columbia,11,9
Victoria,Utah,9,8
Montana,Idaho,13,4
Washington,Victoria,13,8
British Columbia,Montana,9,11
Utah,Idaho,13,2
Washington,Montana,13,2
Victoria,Idaho,13,5
British Columbia,Utah,9,10
Washington,Idaho,13,6
Victoria,British Columbia,13,8
Montana,Utah,5,13
Victoria,Montana,13,9
British Columbia,Idaho,13,4
Washington,Utah,13,9
Oregon,Oregon State,13,6
Whitman,Montana State,9,8
Utah State,Boise State,13,6
Oregon,Whitman,13,6
Oregon State,Utah State,13,11
Montana State,Boise State,13,3
Oregon,Utah State,13,9
Whitman,Boise State,13,3
Oregon State,Montana State,9,10
Oregon,Boise State,13,1
Whitman,Oregon State,8,13
Utah State,Montana State,6,13
Oregon,Montana State,13,9
Whitman,Utah State,13,9
Oregon State,Boise State,13,4
Washington,Oregon,13,14
Washington,Oregon State,14,10
Victoria,Oregon,5,15
Utah,Victoria,7,14
Oregon State,Utah,11,14
