Washington State,Oregon State B,9

Washington C,Pacific Lutheran B,12

Washington State,Pacific Lutheran B,13

Washington C,Oregon State B,5

Oregon State B,Pacific Lutheran B,9

Washington State,Washington C,10

Gonzaga,Willamette University,5

Washington B,Whitworth,8

Whitworth,Gonzaga,5

Washington B,Willamette University,9

Gonzaga,Washington B,5

Whitworth,Willamette University,7

Lewis,Seattle B,10

Pacific Lutheran,Western Washington University B,4

Lewis,Pacific Lutheran,4

Western Washington University B,Seattle B,1

Lewis,Western Washington University B,7

Pacific Lutheran,Seattle B,10

Lewis,Willamette University,10

Washington B,Seattle B,15

Whitworth,Pacific Lutheran,5

Gonzaga,Western Washington University B,5

Lewis,Washington B,2

Lewis,Whitworth,8

Washington B,Gonzaga,6

Whitworth,Washington State,4

Lewis,Pacific Lutheran,9

Washington State,Gonzaga,9

Gonzaga,Washington C,6

Washington State,Pacific Lutheran,7

Pacific Lutheran,Washington C,12

Willamette University,Western Washington University B,1

Western Washington University B,Seattle B,4

Willamette University,Oregon State B,2

Seattle B,Pacific Lutheran B,12

Oregon State B,Pacific Lutheran B,13

