Cal Poly-SLO,British Columbia,7
Brigham Young,Whitman,4
Victoria,Western Washington,7
Oregon State,Stanford,2
Brigham Young,Stanford,5
Washington,Oregon State,6
Victoria,Whitman,2
Western Washington,British Columbia,4
Cal Poly-SLO,Whitman,6
Washington,Victoria,4
Brigham Young,British Columbia,6
Cal Poly-SLO,Western Washington,8
Stanford,British Columbia,6
Brigham Young,Victoria,5
Cal Poly-SLO,Stanford,2
Western Washington,Whitman,7
Victoria,Oregon State,1
Washington,British Columbia,5
British Columbia,Oregon State,2
Western Washington,Stanford,1
Cal Poly-SLO,Victoria,5
British Columbia,Whitman,4
Cal Poly-SLO,Washington,4
Western Washington,Oregon State,3
Brigham Young,Washington,1
Cal Poly-SLO,Oregon State,5
Stanford,Whitman,3
Washington,Western Washington,6
Brigham Young,Cal Poly-SLO,4
Whitman,Oregon State,3
Brigham Young,Oregon State,5
Washington,Whitman,7
Brigham Young,Western Washington,7
