Gonzaga,Pacific Lutheran,9
Lewis & Clark,Puget Sound,2
Lewis & Clark,Pacific Lutheran,8
Puget Sound,Western Washington B,9
Pacific Lutheran,Western Washington B,2
Lewis & Clark,Gonzaga,4
Puget Sound,Pacific Lutheran,5
Gonzaga,Western Washington B,6
Puget Sound,Gonzaga,6
Lewis & Clark,Western Washington B,9
Portland,Washington State,4
Idaho,Washington B,4
Montana,Brigham Young B,2
Portland,Idaho,6
Montana,Washington B,6
Washington State,Brigham Young B,5
Portland,Washington B,6
Washington State,Montana,4
Brigham Young B,Idaho,3
Portland,Montana,4
Washington B,Brigham Young B,3
Washington State,Idaho,4
Portland,Brigham Young B,3
Washington State,Washington B,2
Montana,Idaho,2
Lewis & Clark,Portland,2
Lewis & Clark,Gonzaga,5
Portland,Puget Sound,1
Lewis & Clark,Idaho,6
Gonzaga,Washington State,5
Puget Sound,Montana,2
Portland,Washington B,10
Washington State,Montana,3
Washington State,Idaho,7
Montana,Washington B,3
Puget Sound,Gonzaga,3
Idaho,Washington B,5
Idaho,Western Washington B,3
Washington B,Pacific Lutheran,12
Pacific Lutheran,Western Washington B,5
