Colorado-Colorado Springs,Air Force B,1
Colorado-Denver,Colorado B,8
Colorado School of Mines,New Mexico,2
Colorado Mesa,Colorado Cutthroat,1
Air Force,Colorado School of Mines,3
Colorado B,Colorado Cutthroat,1
Colorado Mesa,Air Force B,8
Colorado-Denver,Colorado-Colorado Springs,9
Air Force,Colorado-Denver,7
Colorado School of Mines,Air Force B,13
New Mexico,Colorado Cutthroat,8
Colorado-Colorado Springs,Colorado Mesa,1
Air Force,Colorado Cutthroat,10
Colorado School of Mines,Colorado Mesa,10
Colorado B,Colorado-Colorado Springs,10
New Mexico,Air Force B,9
Air Force,Colorado B,9
Air Force B,Colorado Cutthroat,4
Colorado-Denver,Colorado Mesa,2
New Mexico,Colorado-Colorado Springs,7
Air Force,Air Force B,15
Colorado School of Mines,Colorado B,8
Colorado-Denver,Colorado Cutthroat,7
New Mexico,Colorado Mesa,9
Air Force,New Mexico,3
Colorado-Denver,Colorado School of Mines,1
Colorado B,Air Force B,11
Colorado-Colorado Springs,Colorado Cutthroat,2
Air Force,Colorado Mesa,13
Colorado School of Mines,Colorado-Colorado Springs,11
New Mexico,Colorado B,10
Colorado-Denver,Air Force B,6
